10/17/2024   08:56:58  AM|COUNTERFEIT/FORGERY|21XX  LAUWILIWILI ST|KAPOLEI|District 8
10/17/2024   08:56:20  AM|THREATENING|29XX  KAIMUKI AVE|KAPAHULU|District 7
10/17/2024   08:55:45  AM|TRESPASS WARN|14XX  ALA MOANA BLVD|ALA MOANA|District 1
10/17/2024   08:52:55  AM|MISC CRIME OFFENSE|6XX  ILALO ST|KAKAAKO|District 1
10/17/2024   08:50:07  AM|MISC SERVICE CALL|6604XX  WAIALUA BEACH RD|HALEIWA|District 2
10/17/2024   08:48:16  AM|UEMV|7XX  KINAU ST|HONOLULU|District 1
10/17/2024   08:48:01  AM|PARKING VIOLATION|17XX  AUPUNI ST|KALIHI|District 5
10/17/2024   08:47:14  AM|PARKING VIOLATION|9405XX  PILIMAI ST|WAIPAHU|District 3
10/17/2024   08:41:47  AM|FOLLOW UP|6XX  ALA MOANA BLVD|KAKAAKO|District 1
10/17/2024   08:15:15  AM|MISC PUB|29XX  KALAWAO ST|MANOA|District 7
10/17/2024   08:14:11  AM|PARKING VIOLATION|19XX  UALAKAA ST|MAKIKI|District 1
10/17/2024   07:50:45  AM|MVC|AINA LANI PL / ROUND TOP DR|MAKIKI|District 1
10/17/2024   07:22:21  AM|FAMILY OFF/NEG|4505XX  LULUKU RD|KANEOHE|District 4
10/17/2024   06:43:41  AM|AUTO THEFT|7XX  S KING ST|HONOLULU|District 1
10/16/2024   15:26:56  PM|THREATENING|26XX  GARDENIA ST|KAIMUKI|District 7
