10/22/2024   09:43:35  AM|PARKING VIOLATION|9518XX  MEHEULA PKWY|MILILANI|District 2
10/22/2024   09:42:28  AM|FRAUD|11XX  MIKOLE ST|KALIHI|District 5
10/22/2024   09:40:43  AM|TRAFFIC COMPLAINT|2XX  H1W FWY|KAIMUKI|District 7
10/22/2024   09:40:41  AM|ARGUMENT|1XX  S SCHOOL ST|PUNCHBOWL|District 1
10/22/2024   09:40:19  AM|MISC SERVICE CALL|9406XX  KAWELE PL|WAIPIO|District 3
10/22/2024   09:40:04  AM|MEDICAL ASSIST|7XX  HUALAU PL|PEARL CITY|District 3
10/22/2024   09:37:20  AM|FAMILY OFF/NEG|9804XX  HOOKANIKE ST|PEARL CITY|District 3
10/22/2024   09:33:12  AM|TRAFFIC CONTROL DEVICE|PUULOA RD / MOANALUA RD|MAPUNAPUNA|District 5
10/22/2024   09:32:30  AM|MISC SERVICE CALL|7XX  S KING ST|HONOLULU|District 1
10/22/2024   09:31:12  AM|UEMV|9813XX  AKAAKA ST|AIEA|District 3
10/22/2024   09:31:12  AM|MISC PUB|2XX  N KUAKINI ST|NUUANU|District 5
10/22/2024   09:28:05  AM|MISC SERVICE CALL|9402XX  WAIPAHU ST|WAIPAHU|District 3
10/22/2024   09:27:49  AM|TRESPASS WARN|11XX  MAPUNAPUNA ST|MAPUNAPUNA|District 5
10/22/2024   09:26:41  AM|MVC|X KEAHOLE PL|HAWAII KAI|District 7
10/22/2024   09:25:29  AM|HARASSMENT|15XX  KANUNU ST|HONOLULU|District 1
10/22/2024   09:20:16  AM|PROPERTY DAMAGE|12XX  ALA MOANA BLVD|ALA MOANA|District 1
10/22/2024   09:19:04  AM|FRAUD|9105XX  KULANA PL|EWA BEACH|District 8
10/22/2024   08:52:19  AM|THEFT|19XX  KALAKAUA AVE|WAIKIKI|District 6
10/22/2024   08:44:19  AM|VEH TOWED|XX  SAND ISLAND PKWY|KALIHI|District 5
10/22/2024   08:40:57  AM|MVC|AALA ST / N BERETANIA ST|DOWNTOWN|District 1
10/22/2024   08:18:44  AM|MISC SERVICE CALL|9407XX  HIKIMOE ST|WAIPAHU|District 3
10/22/2024   07:56:10  AM|PROPERTY DAMAGE|4107XX  KALANIANAOLE HWY|WAIMANALO|District 4
10/22/2024   07:47:00  AM|FOLLOW UP|9XX  PIIKOI ST|HONOLULU|District 1
10/22/2024   07:40:44  AM|LOST PROPERTY|9918XX  AIEA HTS DR|AIEA|District 3
10/22/2024   07:39:40  AM|FRAUD|24XX  KALAKAUA AVE|WAIKIKI|District 6
10/22/2024   07:38:36  AM|FRAUD|17XX  MOTT SMITH DR|MAKIKI|District 1
10/22/2024   07:37:20  AM|FAMILY OFF/NEG|9105XX  PUHILAKA PL|EWA BEACH|District 8
10/22/2024   07:35:48  AM|UNATTENDED DEATH|71XX  KALANIANAOLE HWY|HAWAII KAI|District 7
10/22/2024   07:33:11  AM|THREATENING|2XX  MAHIMAHI PL|AINA HAINA|District 7
10/22/2024   07:25:43  AM|WARRANT ARREST|DUKES LN / KUHIO AVE|WAIKIKI|District 6
