10/23/2024   00:37:35  AM|MISC SERVICE CALL|5308XX  KAM HWY|PUNALUU|District 4
10/23/2024   00:34:00  AM|NUISANCE COMPLAINT|23XX  APOEPOE ST|PEARL CITY|District 3
10/23/2024   00:31:06  AM|TRAFFIC ARREST/CITATION|FARRINGTON HWY / PALAKAMANA ST|MAILI|District 8
10/23/2024   00:24:13  AM|NUISANCE COMPLAINT|9406XX  HONOWAI ST|WAIPAHU|District 3
10/23/2024   00:23:11  AM|WARRANT ARREST|FD ROOSEVELT AVE / GEIGER RD|KALAELOA| 
10/22/2024   23:56:58  PM|WARRANT ARREST|8501XX  PLANTATION RD|WAIANAE|District 8
10/22/2024   23:30:26  PM|THEFT|9414XX  KULEWA LOOP|WAIPIO|District 3
10/22/2024   23:29:33  PM|FOLLOW UP|2XX  WILIKINA DR|WAHIAWA|District 2
10/22/2024   23:29:02  PM|MVC|9805XX  KOAUKA LOOP|AIEA|District 3
10/22/2024   23:18:03  PM|AUTO THEFT RECOVERY|9205XX  MAKAKILO DR|MAKAKILO|District 8
10/22/2024   23:10:04  PM|VEH TOWED|2XX  N KAM HWY|WAHIAWA|District 2
10/22/2024   22:22:01  PM|AGGRAVATED ASSAULT|KAM IV RD / PIO PL|KALIHI|District 5
10/22/2024   22:01:34  PM|MISC PUB|XX  N HOTEL ST|DOWNTOWN|District 1
10/22/2024   21:44:24  PM|WARRANT ARREST|7XX  KEEAUMOKU ST|HONOLULU|District 1
