10/27/2024   20:57:11  PM|SUSP PERSON|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
10/27/2024   20:56:58  PM|MEDICAL ASSIST|H1E FWY|WAIPAHU|District 3
10/27/2024   20:56:43  PM|MVC|9801XX  KAONOHI ST|AIEA|District 3
10/27/2024   20:47:18  PM|THEFT|6600XX  KAM HWY|HALEIWA|District 2
10/27/2024   20:46:30  PM|TRAFFIC COMPLAINT|KALANIANAOLE HWY / HALEMAUMAU ST|AINA HAINA|District 7
10/27/2024   20:32:37  PM|MEDICAL ASSIST|9401XX  ANANIA DR|MILILANI|District 2
10/27/2024   20:27:00  PM|VEH TOWED|7XX  UMI ST|KALIHI|District 5
10/27/2024   20:25:40  PM|VEH TOWED|2XX  OHUA AVE|WAIKIKI|District 6
10/27/2024   20:23:58  PM|HARASSMENT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
10/27/2024   20:11:29  PM|SIMPLE ASSAULT|1XX  VANDENBERG BLVD|JB HICKAM|District 5
10/27/2024   19:56:12  PM|WARRANT ARREST|8500XX  FARRINGTON HWY|MAKAHA|District 8
10/27/2024   19:30:43  PM|HARASSMENT|21XX  KALIA RD|FT DERUSSY|District 6
10/27/2024   19:01:17  PM|UEMV|9510XX  AINAMAKUA DR|MILILANI|District 2
10/27/2024   18:12:50  PM|WARRANT ARREST|KAM HWY / LEHUA AVE|PEARL CITY|District 3
10/27/2024   17:26:32  PM|UNATTENDED DEATH|9112XX  FD ROOSEVELT AVE|KALAELOA|District 8
10/27/2024   00:00:30  AM|FOLLOW UP|20XX  KALIA RD|WAIKIKI|District 6
