10/29/2024   06:24:29  AM|NUISANCE COMPLAINT|3XX  SARATOGA RD|WAIKIKI|District 6
10/29/2024   06:22:15  AM|BURGLARY|16XX  N NIMITZ HWY|KALIHI|District 5
10/29/2024   06:20:40  AM|STALLED/HAZARD VEH|RYCROFT ST / KEEAUMOKU ST|HONOLULU|District 1
10/29/2024   06:20:28  AM|MEDICAL ASSIST|32XX  ALA ILIMA|SALT LAKE|District 5
10/29/2024   06:11:51  AM|MVC VEH TOWED|4XX  PACIFIC ST|KALIHI|District 5
10/29/2024   06:08:50  AM|IDENTITY THEFT|5XX  HAHAIONE ST|HAWAII KAI|District 7
10/29/2024   06:04:06  AM|IDENTITY THEFT|XX  N KUKUI ST|DOWNTOWN|District 1
10/29/2024   06:01:38  AM|BURGLARY VEH TAKEN|6XX  WANAAO RD|KAILUA|District 4
10/29/2024   05:51:39  AM|BURGLARY|16XX  CLARK ST|MANOA|District 7
10/29/2024   04:42:08  AM|COUNTERFEIT/FORGERY|8508XX  FARRINGTON HWY|WAIANAE|District 8
10/29/2024   04:14:57  AM|UNATTENDED DEATH|53XX  HIND PL|AINA HAINA|District 7
10/28/2024   13:32:26  PM|MISC PUB|22XX  AULII ST|KALIHI|District 5
10/28/2024   13:31:28  PM|LOST PROPERTY|74XX  KALANIANAOLE HWY|HAWAII KAI|District 7
