10/29/2024   18:58:40  PM|ARGUMENT FAMILY|2XX  MANANAI PL|AIEA|District 3
10/29/2024   18:55:48  PM|MISC PUB|11XX  PAWAA LN|MCCULLY|District 7
10/29/2024   18:54:42  PM|FIRE CALL|28XX  DOLE ST|KAIMUKI|District 7
10/29/2024   18:51:50  PM|MVC|6XX  KEEAUMOKU ST|HONOLULU|District 1
10/29/2024   18:44:12  PM|RUNAWAY|9109XX  FORT WEAVER RD|EWA BEACH|District 8
10/29/2024   18:42:25  PM|MISC SERVICE CALL|8501XX  ALA WALUA ST|WAIANAE|District 8
10/29/2024   18:39:50  PM|THEFT|9111XX  WAIPUHIA ST|EWA BEACH|District 8
10/29/2024   18:37:38  PM|HARASSMENT|8406XX  ALA MAHIKU ST|MAKAHA|District 8
10/29/2024   18:35:55  PM|FAMILY OFF/NEG|POKAI BAY ST / LUALUALEI HMSTD RD|WAIANAE|District 8
10/29/2024   18:34:29  PM|HARASSMENT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
10/29/2024   18:27:31  PM|MISC CRIME OFFENSE|4100XX  ALOILOI ST|WAIMANALO|District 4
10/29/2024   18:23:32  PM|MISC PUB|X SAND ISLAND ACC RD|KALIHI|District 5
10/29/2024   18:06:21  PM|SIMPLE ASSAULT|8508XX  FARRINGTON HWY|WAIANAE|District 8
10/29/2024   18:04:55  PM|THREATENING|9105XX  EWA BEACH RD|EWA BEACH|District 8
10/29/2024   18:02:24  PM|THEFT|10XX  BISHOP ST|DOWNTOWN|District 1
10/29/2024   17:35:20  PM|FAMILY OFF/NEG|24XX  N NIMITZ HWY|AIRPORT|District 5
10/29/2024   16:49:48  PM|FAMILY OFF/NEG|21XX  WILSON ST|KALIHI|District 5
10/29/2024   16:21:39  PM|THEFT|15XX  BERNICE ST|KALIHI|District 5
10/29/2024   15:15:57  PM|SEX ASSAULT|4508XX  ANOI RD|KANEOHE|District 4
