11/02/2024   12:14:03  PM|FAMILY OFF/NEG|8910XX  POHAKUPALENA ST|NANAKULI|District 8
11/02/2024   12:13:45  PM|MEDICAL ASSIST|VICTORIA ST / S BERETANIA ST|HONOLULU|District 1
11/02/2024   12:10:32  PM|MEDICAL ASSIST|30XX  LONO PL|MANOA|District 7
11/02/2024   12:07:39  PM|PROPERTY DAMAGE|5XX  MALUNIU AVE|KAILUA|District 4
11/02/2024   12:06:08  PM|RUNAWAY CXL|9501XX  KIPAPA DR|MILILANI|District 2
11/02/2024   12:06:00  PM|PARKING VIOLATION|9403XX  KEAOOPUA PL|MILILANI|District 2
11/02/2024   11:58:50  AM|SIMPLE ASSAULT|5XX  KAMOKU ST|MCCULLY|District 7
11/02/2024   11:51:02  AM|ARGUMENT FAMILY|8XX  W HIND DR|AINA HAINA|District 7
11/02/2024   11:47:44  AM|DROPPED CALL|9404XX  PILIMAI ST|WAIPAHU|District 3
11/02/2024   11:38:55  AM|MVC VEH TOWED|KA UKA BLVD / MOANIANI ST|WAIPIO|District 3
11/02/2024   11:29:33  AM|AUTO THEFT|7XX  OLOKELE AVE|KAPAHULU|District 7
11/02/2024   10:49:28  AM|HAZARDOUS DRIVER|KAM HWY / PAALAA UKA PUPUKEA RD|WAHIAWA|District 2
11/02/2024   09:13:40  AM|DRUGS/NARCOTICS|2XX  N KING ST|DOWNTOWN|District 1
