11/03/2024   00:40:23  AM|MISC SERVICE CALL|18XX  EAST WEST RD|MANOA|District 7
11/03/2024   00:39:46  AM|ALARM CALL|9116XX  KEONEULA BLVD|EWA BEACH|District 8
11/03/2024   00:38:21  AM|SUSP PERSON|XX  N KUKUI ST|DOWNTOWN|District 1
11/03/2024   00:31:39  AM|LOUD PARTY|3XX  ILIMANO ST|KAILUA|District 4
11/03/2024   00:26:10  AM|UEMV|24XX  LILIHA ST|NUUANU|District 5
11/03/2024   00:20:56  AM|SIMPLE ASSAULT|4XX  N KING ST|KALIHI|District 5
11/03/2024   00:16:17  AM|SUSP PERSON|30XX  PAPALI ST|KALIHI|District 5
11/03/2024   00:04:56  AM|DUI|4XX  KEONIANA ST|WAIKIKI|District 6
11/03/2024   00:04:09  AM|MVC VEH TOWED|5106XX  KAM HWY|KAAAWA|District 4
11/02/2024   23:30:10  PM|MVC|15XX  ALA LANI|MOANALUA V|District 5
11/02/2024   23:07:36  PM|FOLLOW UP|FARRINGTON HWY / PUHANO ST|WAIANAE|District 8
11/02/2024   21:55:10  PM|BURGLARY|8XX  N KING ST|KALIHI|District 5
11/02/2024   21:07:34  PM|TRESPASS WARN|6600XX  KAM HWY|HALEIWA|District 2
