11/10/2024   01:08:59  AM|MISC SERVICE CALL|KAM HWY / HIGGINS RD|MILILANI|District 2
11/10/2024   01:04:41  AM|MISC PUB|24XX  KALAKAUA AVE|WAIKIKI|District 6
11/10/2024   01:01:07  AM|SUSP CIRCUMSTANCE|7XX  WAIAKAMILO RD|KALIHI|District 5
11/10/2024   01:00:45  AM|PARKING VIOLATION|16XX  AHIAHI PL|KALIHI|District 5
11/10/2024   01:00:37  AM|VEH TOWED|KEONIANA ST / KALAKAUA AVE|WAIKIKI|District 6
11/10/2024   00:55:25  AM|NUISANCE COMPLAINT|12XX  DILLINGHAM BLVD|KALIHI|District 5
11/10/2024   00:49:56  AM|SUSP CIRCUMSTANCE|9111XX  RENTON RD|EWA BEACH|District 8
11/10/2024   00:38:37  AM|NOISE COMPLAINT|20XX  PALOLO AVE|KAIMUKI|District 7
11/10/2024   00:01:09  AM|DUI|KANEOHE BAY DR / KAM HWY|KANEOHE|District 4
11/09/2024   23:43:03  PM|WARRANT ARREST|N PAUAHI ST / MAUNAKEA ST|DOWNTOWN|District 1
11/09/2024   23:40:31  PM|PROPERTY DAMAGE|9810XX  MOANALUA RD|AIEA|District 3
11/09/2024   23:31:26  PM|DUI|XX  H1E FWY|KAPOLEI|District 8
11/09/2024   22:21:23  PM|ROBBERY|N SCHOOL ST / NUUANU AVE|NUUANU|District 5
11/09/2024   22:08:58  PM|MISC CRIME OFFENSE|13XX  KONA ST|ALA MOANA|District 1
11/09/2024   21:26:50  PM|WARRANT ARREST|12XX  S BERETANIA ST|HONOLULU|District 1
