11/16/2024   08:13:27  AM|TRAFFIC COMPLAINT|20XX  KALIA RD|FT DERUSSY|District 6
11/16/2024   08:12:28  AM|PARKING VIOLATION|9211XX  PANANA ST|MAKAKILO|District 8
11/16/2024   08:12:03  AM|ATTENDED DEATH|9121XX  FORT WEAVER RD|EWA BEACH|District 8
11/16/2024   08:03:30  AM|MVC|16XX  SAND ISLAND PKWY|KALIHI|District 5
11/16/2024   07:59:07  AM|CUSTODIAL INTERFERENCE|9XX  WAIMANU ST|HONOLULU|District 1
11/16/2024   07:57:19  AM|VEH TOWED|KOMO MAI DR / KAAHELE ST|AIEA|District 3
11/16/2024   07:53:39  AM|MISC PUB|81XX  KALANIANAOLE HWY|HAWAII KAI|District 7
11/16/2024   07:47:20  AM|OVERDUE RENTAL CXL|9101XX  PAPIPI RD|EWA BEACH|District 8
11/16/2024   07:45:36  AM|ORDER VIOLATION|8406XX  ALA MAHIKU ST|MAKAHA|District 8
11/16/2024   07:42:53  AM|MISC PUB|9405XX  UKEE ST|WAIPIO|District 3
11/16/2024   07:30:14  AM|HARASSMENT|8701XX  LINAKOLA ST|MAILI|District 8
11/16/2024   07:18:45  AM|UEMV|47XX  KAHALA AVE|KAHALA|District 7
11/16/2024   07:17:16  AM|ATTENDED DEATH|8509XX  MILL ST|WAIANAE|District 8
