11/16/2024   23:37:52  PM|ALARM CALL|5801XX  NAPOONALA PL|SUNSET|District 2
11/16/2024   23:37:31  PM|MISC PUB|14XX  PIIKOI ST|MAKIKI|District 1
11/16/2024   23:35:25  PM|THEFT|9XX  KEKAULIKE ST|DOWNTOWN|District 1
11/16/2024   23:24:41  PM|LIC PLATE THEFT|14XX  LALAMILO ST|MOANALUA V|District 5
11/16/2024   23:21:23  PM|FOLLOW UP|CORAL SEA RD / SAN JUACINTO ST|KALAELOA|District 8
11/16/2024   23:21:03  PM|FAMILY OFF/NEG|23XX  ALA WAI BLVD|WAIKIKI|District 6
11/16/2024   23:07:28  PM|SIMPLE ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
11/16/2024   23:02:34  PM|BURGLARY|9403XX  FARRINGTON HWY|WAIPAHU|District 3
11/16/2024   22:44:29  PM|FAMILY OFF/NEG|6XX  KAWAINUI ST|KAILUA|District 4
11/16/2024   22:29:02  PM|MISC CRIME OFFENSE|26XX  KALAKAUA AVE|WAIKIKI|District 6
11/16/2024   22:24:20  PM|HOMICIDE|H1W 6TH OP|KAIMUKI|District 7
11/16/2024   22:23:11  PM|AUTO THEFT|5XX  KULIOUOU RD|AINA HAINA|District 7
11/16/2024   22:15:59  PM|PARKING VIOLATION|25XX  DATE ST|MCCULLY|District 7
11/16/2024   21:56:54  PM|FAMILY OFF/NEG|11XX  WAIMANO HOME RD|PEARL CITY|District 3
11/16/2024   21:53:47  PM|MISC PUB|2XX  AIKAPA ST|KAILUA|District 4
11/16/2024   20:05:28  PM|HARASSMENT|21XX  KALAKAUA AVE|WAIKIKI|District 6
11/16/2024   19:54:54  PM|LIQUOR LAW|21XX  KALAIWA WAY|KALIHI|District 5
