11/21/2024   07:56:38  AM|ARGUMENT FAMILY|5604XX  KAM HWY|KAHUKU|District 4
11/21/2024   07:55:01  AM|SUSP VEH|9406XX  HONOWAI ST|WAIPAHU|District 3
11/21/2024   07:53:45  AM|WEAPONS|51XX  IROQUOIS AVE|IROQUOIS|District 8
11/21/2024   07:53:19  AM|HARASSMENT|8600XX  FARRINGTON HWY|WAIANAE|District 8
11/21/2024   07:52:28  AM|THEFT|21XX  KALAKAUA AVE|WAIKIKI|District 6
11/21/2024   07:50:02  AM|THEFT|7XX  KEEAUMOKU ST|HONOLULU|District 1
11/21/2024   07:48:59  AM|NUISANCE COMPLAINT|KONA ST / ATKINSON DR|ALA MOANA|District 1
11/21/2024   07:47:14  AM|VEH TOWED|HAUOLI ST / ALGAROBA ST|MCCULLY|District 7
11/21/2024   07:45:03  AM|MISC SERVICE CALL|8909XX  NANAKULI AVE|NANAKULI|District 8
11/21/2024   07:42:53  AM|MISC PUB|21XX  N NIMITZ HWY|KALIHI|District 5
11/21/2024   07:41:42  AM|PARKING VIOLATION|PUAINAKO ST / KAPOLEI PKWY|KAPOLEI|District 8
11/21/2024   07:39:31  AM|PARKING VIOLATION|23XX  OAHU AVE|MANOA|District 7
11/21/2024   07:33:06  AM|MISC PUB|24XX  HIHIWAI ST|MCCULLY|District 7
11/21/2024   07:16:01  AM|TRAFFIC ARREST/CITATION|ALEXANDER ST / WILDER AVE|MANOA|District 7
11/21/2024   07:10:09  AM|AGGRAVATED ASSAULT|2XX  N KING ST|DOWNTOWN|District 1
11/21/2024   06:22:43  AM|AGGRAVATED ASSAULT|9XX  EU LN|KALIHI|District 5
