11/21/2024   10:13:55  AM|ARGUMENT|8703XX  KULAAUPUNI ST|MAILI|District 8
11/21/2024   10:12:11  AM|MVC|11XX  N KING ST|KALIHI|District 5
11/21/2024   10:11:30  AM|TRESPASS|4505XX  PUONI PL|KANEOHE|District 4
11/21/2024   10:11:11  AM|TRAFFIC COMPLAINT|KAMANANUI RD / WILIKINA DR|WAHIAWA|District 2
11/21/2024   10:09:48  AM|TRESPASS WARN|10XX  KAM HWY|PEARL CITY|District 3
11/21/2024   10:05:23  AM|NUISANCE COMPLAINT|30XX  WAIALAE AVE|KAIMUKI|District 7
11/21/2024   10:04:43  AM|PARKING VIOLATION|21XX  LANIHULI DR|MANOA|District 7
11/21/2024   10:02:42  AM|DEFIB CALL|17XX  ROYAL PALM DR|WAHIAWA|District 2
11/21/2024   10:01:32  AM|TRESPASS|16XX  ALA MOANA BLVD|WAIKIKI|District 6
11/21/2024   09:43:38  AM|TRESPASS WARN|KALAKAUA AVE / SEASIDE AVE|WAIKIKI|District 6
11/21/2024   09:42:29  AM|TRUANCY|15XX  CALIFORNIA AVE|WAHIAWA|District 2
11/21/2024   08:53:27  AM|VEH TOWED|YOUNG ST / PIIKOI ST|HONOLULU|District 1
11/21/2024   08:39:47  AM|MISC PUB|22XX  CALIFORNIA AVE|WAHIAWA|District 2
11/21/2024   08:38:26  AM|FAMILY OFF/NEG|3XX  N CANE ST|WAHIAWA|District 2
11/21/2024   08:36:36  AM|MISC CRIME OFFENSE|5XX  CORAL ST|HONOLULU|District 1
11/21/2024   08:26:28  AM|TRESPASS WARN|8XX  KAM HWY|PEARL CITY|District 3
11/20/2024   12:23:11  PM|THEFT|1XX  MALUNIU AVE|KAILUA|District 4
11/20/2024   12:22:02  PM|THEFT|13XX  PALI HWY|DOWNTOWN|District 1
