11/23/2024   18:39:56  PM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
11/23/2024   18:39:00  PM|MEDICAL ASSIST|10XX  WAKEA ST|KAPOLEI|District 8
11/23/2024   18:38:54  PM|ARGUMENT FAMILY|14XX  LEKEONA ST|KAILUA|District 4
11/23/2024   18:35:53  PM|FIREWORKS VIOLATION|9XX  MAUNAWILI CIR|KAILUA|District 4
11/23/2024   18:34:48  PM|ARGUMENT|9XX  WINANT ST|KALIHI|District 5
11/23/2024   18:34:28  PM|THEFT|24XX  KALAKAUA AVE|WAIKIKI|District 6
11/23/2024   18:33:26  PM|VEH TOWED|XX  H1W FWY|WAIPIO|District 3
11/23/2024   18:32:08  PM|VEH TOWED|9XX  10TH AVE|KAIMUKI|District 7
11/23/2024   18:30:03  PM|MISC SERVICE CALL|11XX  DILLINGHAM BLVD|KALIHI|District 5
11/23/2024   18:29:08  PM|FRAUD|4505XX  KUUIPO PL|KANEOHE|District 4
11/23/2024   18:24:46  PM|MVC|4XX  N SCHOOL ST|NUUANU|District 5
11/23/2024   18:24:00  PM|RUNAWAY|8706XX  FARRINGTON HWY|MAILI|District 8
11/23/2024   17:57:13  PM|MISC SERVICE CALL|5401XX  PUUOWAA ST|HAUULA|District 4
11/23/2024   17:53:05  PM|ANIMAL NOISE|9211XX  HAME ST|MAKAKILO|District 8
11/23/2024   17:44:23  PM|RUNAWAY|5400XX  HAUULA HMSTD RD|HAUULA|District 4
11/23/2024   17:35:10  PM|AUTO THEFT|11XX  KOHOU ST|KALIHI|District 5
11/23/2024   16:53:29  PM|MISC PUB|11XX  LYMAN RD|SCHOFIELD|District 2
