11/29/2024   21:58:04  PM|ARGUMENT|19XX  HANI LN|KALIHI|District 5
11/29/2024   21:56:43  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
11/29/2024   21:55:27  PM|TRESPASS WARN|42XX  WAIALAE AVE|KAIMUKI|District 7
11/29/2024   21:55:21  PM|MVC|14XX  ALA MOANA BLVD|ALA MOANA|District 1
11/29/2024   21:55:20  PM|ORDER VIOLATION|9501XX  KAHELA ST|MILILANI|District 2
11/29/2024   21:54:17  PM|FIREWORKS VIOLATION|9113XX  KEAUNUI DR|EWA BEACH|District 8
11/29/2024   21:52:10  PM|TRAFFIC COMPLAINT|S BERETANIA ST / BISHOP ST|DOWNTOWN|District 1
11/29/2024   21:51:22  PM|MISC SERVICE CALL|13XX  RIVER ST|DOWNTOWN|District 1
11/29/2024   21:39:46  PM|MISC CRIME OFFENSE|2XX  N KING ST|DOWNTOWN|District 1
11/29/2024   21:27:49  PM|MVC|KEANIANI ST / MALUNIU AVE|KAILUA|District 4
11/29/2024   20:57:15  PM|FAMILY OFF/NEG|25XX  NOPILI ST|MCBH|District 4
11/29/2024   20:55:05  PM|MISSING PERSON|9116XX  KEONEULA BLVD|EWA BEACH|District 8
11/29/2024   20:52:19  PM|AUTO THEFT RECOVERY|6608XX  WANINI ST|WAIALUA|District 2
11/29/2024   20:39:42  PM|THEFT|19XX  KALAKAUA AVE|WAIKIKI|District 6
11/29/2024   20:30:51  PM|VEH TOWED|9101XX  OLAI ST|KAPOLEI|District 8
