12/03/2024   12:26:14  PM|ORDER VIOLATION|2XX  KELLOG ST|WAHIAWA|District 2
12/03/2024   12:25:52  PM|ROBBERY VEH CXL|9101XX  PAPIPI RD|EWA BEACH|District 8
12/03/2024   12:20:48  PM|SIMPLE ASSAULT|9110XX  PAKAWELI ST|KAPOLEI|District 8
12/03/2024   12:20:36  PM|VEH TOWED|5XX  H3E FWY|KANEOHE|District 4
12/03/2024   12:20:07  PM|THEFT|6XX  WYLLIE ST|NUUANU|District 5
12/03/2024   12:17:43  PM|MVC VEH TOWED|ALA MOANA BLVD / ATKINSON DR|ALA MOANA|District 1
12/03/2024   12:16:58  PM|AUTO THEFT RECOVERY|9111XX  BOXER RD|KALAELOA|District 8
12/03/2024   12:11:10  PM|AUTO THEFT|32XX  SALT LAKE BLVD|ALIAMANU|District 5
12/03/2024   12:10:45  PM|LOST PROPERTY|8708XX  KULAKOA ST|MAILI|District 8
12/03/2024   12:02:45  PM|MVC|8XX  KAPIOLANI BLVD|HONOLULU|District 1
12/03/2024   11:58:54  AM|UNATTENDED DEATH|XX  S KUKUI ST|DOWNTOWN|District 1
12/03/2024   11:56:18  AM|THEFT|22XX  KALAKAUA AVE|WAIKIKI|District 6
12/03/2024   11:42:50  AM|MVC|WAIALAE AVE / KOKO HEAD AVE|KAIMUKI|District 7
12/03/2024   11:42:20  AM|COUNTERFEIT/FORGERY|9407XX  FARRINGTON HWY|WAIPAHU|District 3
12/03/2024   11:17:35  AM|MISSING PERSON|30XX  KAHAKO PL|WAIMANALO|District 4
12/03/2024   11:15:32  AM|MISC CRIME OFFENSE|25XX  KALAKAUA AVE|WAIKIKI|District 6
12/03/2024   10:27:35  AM|UNATTENDED DEATH|29XX  KALEI RD|MANOA|District 7
12/03/2024   06:28:51  AM|THEFT|17XX  ALA WAI BLVD|WAIKIKI|District 6
