12/04/2024   05:09:40  AM|ARGUMENT FAMILY|12XX  RICHARD LN|KALIHI|District 5
12/04/2024   05:08:44  AM|ALARM CALL|2XX  PALII ST|MILILANI|District 2
12/04/2024   05:00:37  AM|PARKING VIOLATION|KAHUAPAA PL / KAHUANANI ST|WAIPAHU|District 3
12/04/2024   04:49:11  AM|TRAFFIC COMPLAINT|KAAHUMANU ST / KOMO MAI DR|AIEA|District 3
12/04/2024   04:29:36  AM|MISC PUB|8507XX  FARRINGTON HWY|WAIANAE|District 8
12/04/2024   03:46:09  AM|WARRANT ARREST|9114XX  MIULA ST|EWA BEACH|District 8
12/04/2024   02:56:36  AM|VEH TOWED|5XX  FARRINGTON HWY|KAPOLEI|District 8
12/04/2024   02:50:58  AM|MVC|9501XX  KIPAPA DR|MILILANI|District 2
12/04/2024   02:09:15  AM|DUI|8507XX  FARRINGTON HWY|WAIANAE|District 8
12/03/2024   21:16:03  PM|AUTO THEFT RECOVERY|WAIOLU ST / HAKIMO RD|NANAKULI|District 8
12/03/2024   17:28:01  PM|FOLLOW UP|4804XX  WAIAHOLE VALLEY RD|KAHALUU|District 4
