12/05/2024   01:27:22  AM|AUTO THEFT RECOVERY|N SCHOOL ST / LANAKILA AVE|KALIHI|District 5
12/05/2024   01:26:13  AM|HARASSMENT|9118XX  FORT WEAVER RD|EWA BEACH|District 8
12/05/2024   01:24:27  AM|MISC SERVICE CALL|9403XX  HOKUAHIAHI ST|MILILANI|District 2
12/05/2024   01:17:34  AM|VEH TOWED|LEWERS ST / KUHIO AVE|WAIKIKI|District 6
12/05/2024   01:15:21  AM|SUSP CIRCUMSTANCE|KUNIA DR / KUNIA RD|KUNIA|District 2
12/05/2024   00:31:30  AM|FAMILY OFF/NEG|8701XX  KALEIWOHI ST|NANAKULI|District 8
12/05/2024   00:28:46  AM|UNATTENDED DEATH|5906XX  AKANOHO PL|SUNSET|District 2
12/05/2024   00:20:54  AM|DRUGS/NARCOTICS|XX  MERCHANT ST|DOWNTOWN|District 1
12/05/2024   00:06:17  AM|FOLLOW UP|13XX  PUNAHOU ST|MCCULLY|District 7
12/04/2024   23:46:02  PM|FOLLOW UP|24XX  CLEGHORN ST|WAIKIKI|District 6
12/04/2024   23:23:10  PM|FOLLOW UP|62XX  KEOKEA PL|HAWAII KAI|District 7
12/04/2024   22:53:20  PM|TRAFFIC ARREST/CITATION|KALANIANAOLE HWY / KANAPUU DR|WAIMANALO|District 4
12/04/2024   22:29:49  PM|FOLLOW UP|22XX  ALA WAI BLVD|WAIKIKI|District 6
12/04/2024   17:56:04  PM|UNATTENDED DEATH|6102XX  KAM HWY|HALEIWA|District 2
