12/06/2024   01:07:32  AM|TRAFFIC STOP|KOHOU ST / MOOKAULA ST|KALIHI|District 5
12/06/2024   01:05:49  AM|DISORDERLY CONDUCT|10XX  UNIVERSITY AVE|MCCULLY|District 7
12/06/2024   00:51:55  AM|THREATENING|10XX  RIVER ST|DOWNTOWN|District 1
12/06/2024   00:50:18  AM|NUISANCE COMPLAINT|9111XX  KEAHUMOA PKWY|EWA BEACH|District 8
12/06/2024   00:49:17  AM|MISC PUB|9800XX  UAO PL|AIEA|District 3
12/06/2024   00:23:59  AM|UNATTENDED DEATH|9110XX  AHUUA ST|EWA BEACH|District 8
12/06/2024   00:23:16  AM|FOLLOW UP|2XX  OHUA AVE|WAIKIKI|District 6
12/06/2024   00:22:36  AM|SIMPLE ASSAULT|10XX  YOUNG ST|HONOLULU|District 1
12/06/2024   00:13:24  AM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
12/05/2024   23:26:47  PM|AUTO THEFT RECOVERY|S BERETANIA ST / KEEAUMOKU ST|HONOLULU|District 1
12/05/2024   23:04:53  PM|MISC PUB|8XX  KAM HWY|PEARL CITY|District 3
12/05/2024   22:25:05  PM|MISC PUB|16XX  ALA MOANA BLVD|WAIKIKI|District 6
