12/06/2024   17:42:06  PM|ANIMAL NOISE|9XX  16TH AVE|KAIMUKI|District 7
12/06/2024   17:37:58  PM|STALLED VEH|22XX  ALA WAI BLVD|WAIKIKI|District 6
12/06/2024   17:37:39  PM|THEFT|3XX  HOBRON LN|WAIKIKI|District 6
12/06/2024   17:29:20  PM|MISC SERVICE CALL|9206XX  ANIPEAHI ST|MAKAKILO|District 8
12/06/2024   17:29:09  PM|TRAFFIC STOP|24XX  ROUND TOP DR|MAKIKI|District 1
12/06/2024   17:27:37  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
12/06/2024   17:19:26  PM|ROBBERY|13XX  GULICK AVE|KALIHI|District 5
12/06/2024   17:15:34  PM|THEFT|9811XX  KOMO MAI DR|PEARL CITY|District 3
12/06/2024   17:15:06  PM|MISC SERVICE CALL|WANAAO RD / PAPALANI ST|KAILUA|District 4
12/06/2024   17:07:13  PM|NUISANCE COMPLAINT|29XX  ROUND TOP DR|MAKIKI|District 1
12/06/2024   17:01:44  PM|THEFT|6601XX  KAM HWY|HALEIWA|District 2
12/06/2024   16:54:57  PM|MISC PUB|4502XX  NAKULUAI ST|KANEOHE|District 4
12/06/2024   16:47:35  PM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/06/2024   16:41:45  PM|SIMPLE ASSAULT|21XX  BOOTH RD|PUNCHBOWL|District 1
12/06/2024   16:38:54  PM|ARGUMENT FAMILY|4704XX  PULAMA RD|KAHALUU|District 4
12/06/2024   16:35:22  PM|FOLLOW UP|9121XX  FORT WEAVER RD|EWA BEACH|District 8
12/06/2024   16:22:14  PM|MISC PUB|WANAAO RD / KAKAHIAKA ST|KAILUA|District 4
12/06/2024   16:15:53  PM|MVC|9401XX  PAIONIA PL|MILILANI|District 2
12/06/2024   16:11:01  PM|MVC|PELANAKI ST / FARRINGTON HWY|MAILI|District 8
12/06/2024   12:01:48  PM|FAMILY OFF/NEG|2XX  KOA ST|WAHIAWA|District 2
