12/08/2024   21:27:55  PM|PARKING VIOLATION|24XX  AUMAKUA ST|PEARL CITY|District 3
12/08/2024   21:24:43  PM|MISC SERVICE CALL|6204XX  KAM HWY|HALEIWA|District 2
12/08/2024   21:21:38  PM|HAZARDOUS DRIVER|KOLOWAKA DR / FORT WEAVER RD|EWA BEACH|District 8
12/08/2024   21:21:25  PM|FIREWORKS VIOLATION|AALA ST / N KUKUI ST|DOWNTOWN|District 1
12/08/2024   21:19:51  PM|MISC SERVICE CALL|6XX  N KUAKINI ST|NUUANU|District 5
12/08/2024   21:18:48  PM|TRAFFIC STOP|FARRINGTON HWY / MAILIILI RD|WAIANAE|District 8
12/08/2024   21:17:49  PM|TRAFFIC STOP|8601XX  FARRINGTON HWY|WAIANAE|District 8
12/08/2024   21:15:20  PM|ARGUMENT|2XX  AIKAPA ST|KAILUA|District 4
12/08/2024   21:14:17  PM|THEFT|7XX  OCEAN VIEW DR|KAIMUKI|District 7
12/08/2024   21:10:16  PM|SUSP VEH|9140XX  HIKUONO ST|EWA BEACH|District 8
12/08/2024   20:58:03  PM|MISC PUB|5700XX  KUILIMA DR|KAHUKU|District 4
12/08/2024   20:56:47  PM|MISC SERVICE CALL|4107XX  MOOIKI ST|WAIMANALO|District 4
12/08/2024   20:55:04  PM|WARRANT ARREST|9XX  S BERETANIA ST|HONOLULU|District 1
12/08/2024   20:53:19  PM|ROBBERY|17XX  POKI ST|MAKIKI|District 1
12/08/2024   20:50:25  PM|TRAFFIC COMPLAINT|ALIKA AVE / WOOD ST|NUUANU|District 5
12/08/2024   20:22:51  PM|WARRANT ARREST|CORAL SEA RD / BOUGAINVILLE AVE|KALAELOA|District 8
12/08/2024   19:58:54  PM|BURGLARY|9405XX  ALAPOAI ST|MILILANI|District 2
12/08/2024   19:52:41  PM|DUI|57XX  ERNE AVE|IROQUOIS|District 8
12/08/2024   19:45:26  PM|DUI|PILIOKAHI AVE / FARRINGTON HWY|NANAKULI|District 8
12/08/2024   19:38:13  PM|EXTRADITION VIOLATION|42XX  N NIMITZ HWY|AIRPORT|District 5
12/08/2024   18:10:32  PM|PROPERTY DAMAGE|X N HOTEL ST|DOWNTOWN|District 1
