12/11/2024   15:13:31  PM|NUISANCE COMPLAINT|14XX  DILLINGHAM BLVD|KALIHI|District 5
12/11/2024   15:09:12  PM|MISC SERVICE CALL|9806XX  NAALII ST|AIEA|District 3
12/11/2024   15:07:28  PM|TRAFFIC STOP|NUUANU AVE / N BERETANIA ST|DOWNTOWN|District 1
12/11/2024   15:06:23  PM|MISC CRIME OFFENSE|26XX  KALAKAUA AVE|WAIKIKI|District 6
12/11/2024   15:05:33  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
12/11/2024   15:04:46  PM|PARKING VIOLATION|4505XX  LULUKU RD|KANEOHE|District 4
12/11/2024   15:02:17  PM|ICF/SCF|25XX  KAPIOLANI BLVD|MCCULLY|District 7
12/11/2024   15:01:38  PM|PROPERTY DAMAGE|4104XX  SADDLE CITY RD|WAIMANALO|District 4
12/11/2024   15:00:14  PM|MISC SERVICE CALL|9404XX  HIAHIA LOOP|WAIPAHU|District 3
12/11/2024   14:57:34  PM|MVC|KAMAU PL / KEAAHALA RD|KANEOHE|District 4
12/11/2024   14:56:05  PM|MVC|4600XX  KAM HWY|KANEOHE|District 4
12/11/2024   14:54:45  PM|MISC SERVICE CALL|MANAWALEA ST / KOLOWAKA DR|EWA BEACH|District 8
12/11/2024   14:54:42  PM|MISC PUB|8405XX  MANUKU ST|MAKAHA|District 8
12/11/2024   14:47:22  PM|ARGUMENT|9108XX  FORT WEAVER RD|EWA BEACH|District 8
12/11/2024   14:45:54  PM|THREATENING|9153XX  KAPOLEI PKWY|KAPOLEI|District 8
12/11/2024   14:44:54  PM|HARASSMENT|8502XX  FARRINGTON HWY|WAIANAE|District 8
12/11/2024   14:44:12  PM|VEH TOWED|10XX  GREEN ST|MAKIKI|District 1
12/11/2024   14:42:46  PM|MVC|FARRINGTON HWY / LAALOA ST|KAPOLEI|District 8
12/11/2024   14:40:26  PM|MVC VEH TOWED|HIAPO ST / PAIWA ST|WAIPAHU|District 3
12/11/2024   14:29:22  PM|MVC|89XX  KALANIANAOLE HWY|HAWAII KAI|District 7
12/11/2024   14:28:45  PM|WARRANT ARREST|COLLEGE WALK / N BERETANIA ST|DOWNTOWN|District 1
12/11/2024   14:27:33  PM|FAMILY OFF/NEG|8703XX  FARRINGTON HWY|MAILI|District 8
12/11/2024   14:21:47  PM|DRUGS/NARCOTICS|X HOOLAI ST|KAILUA|District 4
12/11/2024   14:20:19  PM|LOST PROPERTY|66XX  KALANIANAOLE HWY|HAWAII KAI|District 7
12/11/2024   14:13:59  PM|MVC|11XX  21ST AVE|KAIMUKI|District 7
12/11/2024   14:05:37  PM|AUTO THEFT|FORT WEAVER RD / KEAUNUI DR|EWA BEACH|District 8
12/11/2024   13:37:22  PM|MISC PUB|14XX  YOUNG ST|HONOLULU|District 1
12/11/2024   13:33:54  PM|AUTO THEFT RECOVERY|9XX  HAUSTEN ST|MCCULLY|District 7
12/11/2024   12:22:29  PM|MISC PUB|4XX  SOUTH ST|KAKAAKO|District 1
12/11/2024   10:51:33  AM|DRUGS/NARCOTICS|N HOTEL ST / RIVER ST|DOWNTOWN|District 1
12/11/2024   10:25:07  AM|TRESPASS|55XX  BITTERN AVE|IROQUOIS|District 8
