12/11/2024   18:57:51  PM|MVC|LIKELIKE HWY / ALU ST|KALIHI|District 5
12/11/2024   18:56:10  PM|ARGUMENT|2XX  OHUA AVE|WAIKIKI|District 6
12/11/2024   18:51:54  PM|THREATENING|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/11/2024   18:51:47  PM|SIMPLE ASSAULT|17XX  NAKIU PL|MANOA|District 7
12/11/2024   18:47:07  PM|SUSP CIRCUMSTANCE|8407XX  KILI DR|MAKAHA|District 8
12/11/2024   18:32:04  PM|DEFIB CALL|9802XX  PAHEMO ST|AIEA|District 3
12/11/2024   18:30:54  PM|MISC SERVICE CALL|S HOTEL ST / RICHARDS ST|DOWNTOWN|District 1
12/11/2024   18:28:41  PM|GAMBLING|9802XX  AIEA KAI PL|AIEA|District 3
12/11/2024   18:12:19  PM|RUNAWAY CXL|9121XX  OLD FORT WEAVER RD|EWA BEACH|District 8
12/11/2024   18:06:47  PM|LOST PROPERTY|10XX  KAHULUI ST|HAWAII KAI|District 7
12/11/2024   18:06:00  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/11/2024   17:57:40  PM|MVC VEH TOWED|1XX  H1E FWY|AIEA|District 3
12/11/2024   16:56:28  PM|MISC PUB|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
12/11/2024   16:56:04  PM|MISC PUB|44XX  KAPOLEI PKWY|KAPOLEI|District 8
12/11/2024   15:26:06  PM|UNATTENDED DEATH|9406XX  WAIPAHU ST|WAIPAHU|District 3
12/11/2024   14:05:37  PM|AUTO THEFT|FORT WEAVER RD / KEAUNUI DR|EWA BEACH|District 8
