12/11/2024   21:43:51  PM|TRESPASS|4XX  N KING ST|DOWNTOWN|District 1
12/11/2024   21:31:54  PM|SUSP CIRCUMSTANCE|9506XX  HANILE ST|MILILANI|District 2
12/11/2024   21:24:42  PM|ARGUMENT FAMILY|4505XX  KOLANI PL|KANEOHE|District 4
12/11/2024   21:13:20  PM|LIC PLATE THEFT CXL|WAIALAE AVE / WILHELMINA RISE|KAIMUKI|District 7
12/11/2024   21:10:33  PM|RUNAWAY|4507XX  WAINANA ST|KANEOHE|District 4
12/11/2024   21:03:06  PM|ATTENDED DEATH|6701XX  KUOHA ST|MOKULEIA|District 2
12/11/2024   20:59:50  PM|RUNAWAY CXL|3XX  N CANE ST|WAHIAWA|District 2
12/11/2024   20:45:05  PM|FOLLOW UP|22XX  AHE ST|KAIMUKI|District 7
12/11/2024   20:08:21  PM|TRAFFIC COMPLAINT|20XX  VANCOUVER DR|MANOA|District 7
12/11/2024   19:41:02  PM|SIMPLE ASSAULT|9106XX  KILAHA ST|EWA BEACH|District 8
12/11/2024   16:56:28  PM|MISC PUB|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
