12/15/2024   15:40:15  PM|MISC SERVICE CALL|16XX  PERRY ST|KALIHI|District 5
12/15/2024   15:38:17  PM|NUISANCE COMPLAINT|11XX  WAIMANU ST|HONOLULU|District 1
12/15/2024   15:35:54  PM|TRAFFIC COMPLAINT|XX  H1E FWY|WAIPAHU|District 3
12/15/2024   15:34:05  PM|FOLLOW UP|16XX  LEHIA ST|AIEA|District 3
12/15/2024   15:32:11  PM|PARKING VIOLATION|POOLA ST / WAA ST|WAIALAE|District 7
12/15/2024   15:29:22  PM|MISC PUB|9201XX  WAIPAHE PL|KAPOLEI|District 8
12/15/2024   15:26:24  PM|BURGLARY|14XX  OILI LOOP|WAIALAE|District 7
12/15/2024   15:23:06  PM|LOST PROPERTY|21XX  S KING ST|MCCULLY|District 7
12/15/2024   14:42:22  PM|MISSING PERSON|2XX  ANAPALAU ST|HAWAII KAI|District 7
12/15/2024   14:40:27  PM|MVC|NEHOA ST / PENSACOLA ST|PUNCHBOWL|District 1
12/15/2024   13:26:59  PM|TRESPASS WARN|24XX  KALAKAUA AVE|WAIKIKI|District 6
12/15/2024   13:17:07  PM|MISC PUB|KAM HWY / KIHALE ST|AIEA|District 3
12/15/2024   11:56:07  AM|THREATENING|8700XX  KULAAUPUNI ST|MAILI|District 8
12/15/2024   11:40:26  AM|FOLLOW UP|6601XX  KAM HWY|HALEIWA|District 2
12/15/2024   07:29:33  AM|WARRANT ARREST|8501XX  ALA WALUA ST|WAIANAE|District 8
