12/18/2024   01:28:08  AM|SEX ASSAULT|34XX  MAUNALOA AVE|KAIMUKI|District 7
12/18/2024   01:23:54  AM|TRAFFIC STOP|FARRINGTON HWY / HAKIMO RD|NANAKULI|District 8
12/18/2024   01:23:06  AM|NOISE COMPLAINT|9500XX  WAIKALANI DR|MILILANI|District 2
12/18/2024   01:22:52  AM|SIMPLE ASSAULT|22XX  KALAKAUA AVE|WAIKIKI|District 6
12/18/2024   01:21:33  AM|ARGUMENT|8506XX  FARRINGTON HWY|WAIANAE|District 8
12/18/2024   01:21:15  AM|HARASSMENT|8XX  2ND ST|PEARL CITY|District 3
12/18/2024   01:18:49  AM|NOISE COMPLAINT|5905XX  KE IKI RD|SUNSET|District 2
12/18/2024   01:17:24  AM|SIMPLE ASSAULT|4XX  KALAIMOKU ST|WAIKIKI|District 6
12/18/2024   01:16:39  AM|ARGUMENT FAMILY|3XX  PALM ST|WAHIAWA|District 2
12/18/2024   01:12:28  AM|SIMPLE ASSAULT|21XX  KUHIO AVE|WAIKIKI|District 6
12/18/2024   01:09:42  AM|MVC VEH TOWED|WARD AVE / S BERETANIA ST|HONOLULU|District 1
12/18/2024   01:03:09  AM|ARGUMENT FAMILY|8406XX  ALA MAHIKU ST|MAKAHA|District 8
12/18/2024   00:53:52  AM|THREATENING|1XX  S KAM HWY|WAHIAWA|District 2
12/18/2024   00:49:10  AM|MISC SERVICE CALL|4505XX  PAHIA RD|KANEOHE|District 4
12/18/2024   00:45:33  AM|WARRANT ARREST|12XX  ALA MOANA BLVD|ALA MOANA|District 1
12/18/2024   00:03:04  AM|SIMPLE ASSAULT|9110XX  AAWA DR|EWA BEACH|District 8
12/17/2024   23:25:06  PM|DUI|XX  H1E FWY|WAIPAHU|District 3
12/17/2024   23:14:22  PM|THEFT|8508XX  FARRINGTON HWY|WAIANAE|District 8
12/17/2024   22:27:27  PM|ORDER VIOLATION|6605XX  KAM HWY|HALEIWA|District 2
12/17/2024   22:19:04  PM|MISC CRIME OFFENSE|37XX  LEAHI AVE|WAIKIKI|District 6
