12/18/2024   11:09:20  AM|SUSP CIRCUMSTANCE|13XX  ALA AOLANI|MOANALUA V|District 5
12/18/2024   10:59:08  AM|MISC SERVICE CALL|8902XX  LEPEKA AVE|NANAKULI|District 8
12/18/2024   10:57:37  AM|ARGUMENT FAMILY|9402XX  KUANALIO LOOP|MILILANI|District 2
12/18/2024   10:53:58  AM|PROPERTY DAMAGE|7XX  16TH AVE|KAIMUKI|District 7
12/18/2024   10:51:04  AM|MISC SERVICE CALL|9217XX  KUNIA RD|KUNIA|District 2
12/18/2024   10:50:23  AM|FOLLOW UP|9404XX  WAIPAHU ST|WAIPAHU|District 3
12/18/2024   10:44:39  AM|MISSING PERSON|8512XX  KANEILIO ST|WAIANAE|District 8
12/18/2024   10:42:51  AM|UEMV|50XX  KAHALA AVE|KAHALA|District 7
12/18/2024   10:32:02  AM|MVC|S KAINALU DR / KAILUA RD|KAILUA|District 4
12/18/2024   10:22:47  AM|MISC CRIME OFFENSE|6XX  ULUKAHIKI ST|KAILUA|District 4
12/18/2024   10:21:34  AM|MVC|34XX  WAIALAE AVE|KAIMUKI|District 7
12/18/2024   10:20:08  AM|MISC PUB|8502XX  FARRINGTON HWY|WAIANAE|District 8
12/18/2024   10:08:59  AM|MISC PUB|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/18/2024   10:03:27  AM|WARRANT ARREST|KALANIANAOLE HWY / KAPAA QUARRY RD|KAILUA|District 4
12/18/2024   09:55:09  AM|FOLLOW UP|5XX  FARRINGTON HWY|KAPOLEI|District 8
12/18/2024   09:51:45  AM|AGGRAVATED ASSAULT|LUALUALEI NAVAL RD / FARRINGTON HWY|NANAKULI|District 8
12/18/2024   09:25:48  AM|MVC|CENTER ST / WHITMORE AVE|WAHIAWA|District 2
12/18/2024   06:37:54  AM|FAMILY OFF/NEG|10XX  S KING ST|HONOLULU|District 1
