01/01/2025   22:12:45  PM|SIMPLE ASSAULT|21XX  KALAKAUA AVE|WAIKIKI|District 6
01/01/2025   22:11:32  PM|PARKING VIOLATION|GREEN ST / ERNEST ST|MAKIKI|District 1
01/01/2025   22:10:15  PM|ALARM CALL|2XX  PALII ST|MILILANI|District 2
01/01/2025   22:10:00  PM|FOLLOW UP|10XX  MCCANDLESS LN|KALIHI|District 5
01/01/2025   21:58:57  PM|NUISANCE COMPLAINT|9260XX  ILIOHE ST|MAKAKILO|District 8
01/01/2025   21:50:56  PM|VEH TOWED|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
01/01/2025   21:48:13  PM|MVC|12XX  ALA KAPUNA|MOANALUA V|District 5
01/01/2025   20:32:57  PM|DRUGS/NARCOTICS|8701XX  KELIIKIPI ST|MAILI|District 8
01/01/2025   20:19:25  PM|DISORDERLY CONDUCT|19XX  KAM IV RD|KALIHI|District 5
01/01/2025   19:31:31  PM|THREATENING|ACACIA RD / KAM HWY|PEARL CITY|District 3
01/01/2025   19:23:21  PM|DISORDERLY CONDUCT|9401XX  PUPUKAHI ST|WAIPAHU|District 3
