01/03/2025   09:57:48  AM|MISC SERVICE CALL|9907XX  IWAIWA ST|AIEA|District 3
01/03/2025   09:54:43  AM|TRESPASS WARN|5XX  TINKER RD|BELLOWS|District 4
01/03/2025   09:53:56  AM|SUSP CIRCUMSTANCE|9110XX  HANAKAHI ST|EWA BEACH|District 8
01/03/2025   09:50:46  AM|SUSP CIRCUMSTANCE|14XX  THURSTON AVE|MAKIKI|District 1
01/03/2025   09:49:40  AM|TRAFFIC COMPLAINT|4704XX  WAIHEE PL|KAHALUU|District 4
01/03/2025   09:49:37  AM|MVC|74XX  KALANIANAOLE HWY|HAWAII KAI|District 7
01/03/2025   09:49:15  AM|HARASSMENT|8502XX  ALA AKAU ST|WAIANAE|District 8
01/03/2025   09:48:02  AM|MISC CRIME OFFENSE|22XX  S KING ST|MCCULLY|District 7
01/03/2025   09:46:10  AM|VEH TOWED|4XX  LAGOON DR|AIRPORT|District 5
01/03/2025   09:45:32  AM|SUSP CIRCUMSTANCE|8XX  PROSPECT ST|PUNCHBOWL|District 1
01/03/2025   09:45:05  AM|FRAUD|63XX  PAAUILO PL|HAWAII KAI|District 7
01/03/2025   09:39:24  AM|BURGLARY|36XX  DIAMOND HEAD RD|KAHALA|District 7
01/03/2025   09:30:56  AM|NUISANCE COMPLAINT|26XX  KAAHA ST|MCCULLY|District 7
01/03/2025   09:28:00  AM|BURGLARY|4501XX  POPOKI ST|KANEOHE|District 4
01/03/2025   09:26:31  AM|NUISANCE COMPLAINT|KAWAIAHAO ST / COOKE ST|HONOLULU|District 1
01/03/2025   09:22:18  AM|FOLLOW UP|12XX  ALA MOANA PARK DR|ALA MOANA|District 1
01/03/2025   09:10:07  AM|LOST PROPERTY|8XX  S BERETANIA ST|HONOLULU|District 1
01/03/2025   09:08:34  AM|FOLLOW UP|S KING ST / BETHEL ST|DOWNTOWN|District 1
01/03/2025   09:00:48  AM|PARKING VIOLATION|4702XX  IUIU ST|KANEOHE|District 4
01/03/2025   08:57:09  AM|THEFT|22XX  CALIFORNIA AVE|WAHIAWA|District 2
01/03/2025   08:55:31  AM|AUTO THEFT|12XX  ALA KAPUNA|MOANALUA V|District 5
01/03/2025   08:07:46  AM|FAMILY OFF/NEG|4706XX  HUI KELU ST|KANEOHE|District 4
01/03/2025   08:05:55  AM|AUTO THEFT RECOVERY|IMELDA ST / AUWAHA ST|EWA BEACH|District 8
01/03/2025   07:37:02  AM|THEFT|1XX  KAAI ST|AINA HAINA|District 7
01/03/2025   07:35:39  AM|MISC CRIME OFFENSE|3XX  AOLOA ST|KAILUA|District 4
