01/05/2025   03:26:50  AM|MVC VEH TOWED|5901XX  KE NUI RD|SUNSET|District 2
01/05/2025   03:25:07  AM|PROPERTY DAMAGE|9801XX  KAONOHI ST|AIEA|District 3
01/05/2025   03:24:26  AM|MISC SERVICE CALL|9111XX  KEAHUMOA PKWY|EWA BEACH|District 8
01/05/2025   03:12:01  AM|ARGUMENT|9412XX  FARRINGTON HWY|WAIPAHU|District 3
01/05/2025   02:37:13  AM|UNATTENDED DEATH|3XX  N KUAKINI ST|NUUANU|District 5
01/05/2025   01:49:16  AM|MISC CRIME OFFENSE|1XX  PAOA PL|FT DERUSSY|District 6
01/05/2025   01:22:14  AM|PROPERTY DAMAGE|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
01/05/2025   01:11:58  AM|TRESPASS WARN|1XX  HOLOMOANA ST|WAIKIKI|District 6
01/05/2025   00:50:50  AM|DUI|XX  H1W FWY|WAIPAHU|District 3
01/04/2025   23:21:53  PM|FAMILY OFF/NEG|9409XX  KAUOLU PL|WAIPAHU|District 3
01/04/2025   23:08:11  PM|FAMILY OFF/NEG|15XX  MEYERS ST|KALIHI|District 5
