01/05/2025   10:13:50  AM|ARGUMENT|KAUKONAHUA RD / NUI AVE|WAHIAWA|District 2
01/05/2025   10:13:33  AM|MVC|FORREST AVE / ALA MOANA BLVD|KAKAAKO|District 1
01/05/2025   10:11:39  AM|SUSP PERSON|17XX  9TH AVE|KAIMUKI|District 7
01/05/2025   10:06:36  AM|TRAFFIC COMPLAINT|UNIVERSITY ONTO H1E|MCCULLY|District 7
01/05/2025   10:04:57  AM|STALLED/HAZARD VEH|KAHEKILI HWY / KEAAHALA RD|KANEOHE|District 4
01/05/2025   10:03:20  AM|TRAFFIC STOP|ALALA RD / KANEAPU PL|KAILUA|District 4
01/05/2025   09:58:58  AM|SUSP CIRCUMSTANCE|34XX  ALANI DR|MANOA|District 7
01/05/2025   09:58:13  AM|RUNAWAY|9XX  ALDER ST|HONOLULU|District 1
01/05/2025   09:57:24  AM|MVC|32XX  WAIALAE AVE|KAIMUKI|District 7
01/05/2025   09:56:10  AM|THEFT|10XX  S KING ST|HONOLULU|District 1
01/05/2025   09:53:58  AM|CONSTRUCTION NOISE|25XX  LA I RD|KAIMUKI|District 7
01/05/2025   09:45:11  AM|SIMPLE ASSAULT|7XX  MANAWAI ST|KAPOLEI|District 8
01/05/2025   09:24:57  AM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
01/05/2025   09:06:27  AM|THEFT|9402XX  WAIPAHU DEPOT ST|WAIPAHU|District 3
01/05/2025   07:24:56  AM|ATTENDED DEATH|16XX  UA DR|KAIMUKI|District 7
01/05/2025   07:06:38  AM|WARRANT ARREST|PUULOA RD / MAPUNAPUNA PL|MAPUNAPUNA|District 5
