01/05/2025   11:22:53  AM|ROBBERY VEH TAKEN|39XX  PAKI AVE|WAIKIKI|District 6
01/05/2025   11:19:34  AM|MISSING PERSON|5XX  HOOULU ST|KAILUA|District 4
01/05/2025   11:14:19  AM|PARKING VIOLATION|5905XX  KE IKI RD|SUNSET|District 2
01/05/2025   11:13:49  AM|MVC|2XX  H1W FWY|KALIHI|District 5
01/05/2025   11:08:20  AM|VEH TOWED|ALA PUUMALU / ALA PILI LOOP|SALT LAKE|District 5
01/05/2025   11:03:09  AM|NUISANCE COMPLAINT|4505XX  KAM HWY|KANEOHE|District 4
01/05/2025   10:59:01  AM|TRESPASS WARN|18XX  N KING ST|KALIHI|District 5
01/05/2025   10:16:09  AM|MISC PUB|4502XX  WAIKALUA RD|KANEOHE|District 4
01/05/2025   10:13:33  AM|MVC VEH TOWED|FORREST AVE / ALA MOANA BLVD|KAKAAKO|District 1
01/05/2025   10:11:39  AM|MISC PUB|17XX  9TH AVE|KAIMUKI|District 7
01/05/2025   10:03:20  AM|WARRANT ARREST|ALALA RD / KANEAPU PL|KAILUA|District 4
01/05/2025   09:56:10  AM|THEFT|10XX  S KING ST|HONOLULU|District 1
