01/23/2025   20:27:29  PM|LOUD PARTY|5905XX  KE IKI RD|SUNSET|District 2
01/23/2025   20:23:52  PM|THEFT|10XX  WILIKI DR|ALIAMANU|District 5
01/23/2025   20:21:12  PM|THEFT|13XX  HEULU ST|MAKIKI|District 1
01/23/2025   20:20:52  PM|MISC SERVICE CALL|4114XX  LAUKALO ST|WAIMANALO|District 4
01/23/2025   20:19:15  PM|PARKING VIOLATION|KAIOPUA ST / KAI KALA ST|EWA BEACH|District 8
01/23/2025   20:14:47  PM|RUNAWAY|5606XX  KAM HWY|KAHUKU|District 4
01/23/2025   20:09:15  PM|ALARM CALL|8XX  KAPIOLANI BLVD|HONOLULU|District 1
01/23/2025   20:08:37  PM|BURGLARY|11XX  N SCHOOL ST|KALIHI|District 5
01/23/2025   20:06:31  PM|UNATTENDED DEATH|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/23/2025   19:57:29  PM|VEH TOWED|8906XX  FARRINGTON HWY|NANAKULI|District 8
01/23/2025   19:54:59  PM|SUSP CIRCUMSTANCE|38XX  NOEAU ST|KAIMUKI|District 7
01/23/2025   19:48:03  PM|FRAUD|2XX  N KING ST|KALIHI|District 5
01/23/2025   19:24:26  PM|MVC|4505XX  KEAAHALA RD|KANEOHE|District 4
01/23/2025   18:56:31  PM|VEH TOWED|WAIHEE RD / KAM HWY|KAHALUU|District 4
01/23/2025   18:37:46  PM|THREATENING|9110XX  SHANGRILA ST|KALAELOA|District 8
01/23/2025   18:32:30  PM|AGGRAVATED ASSAULT|3XX  N NIMITZ HWY|KALIHI|District 5
01/23/2025   17:49:35  PM|FAMILY OFF/NEG|9404XX  KUPUOHI ST|WAIPAHU|District 3
