01/26/2025   17:26:57  PM|DRUNK NUISANCE|MALEKO ST / PUUALOHA ST|KAILUA|District 4
01/26/2025   17:26:27  PM|ALARM CALL|15XX  CALIFORNIA AVE|WAHIAWA|District 2
01/26/2025   17:20:20  PM|ALARM CALL|23XX  KAM HWY|KALIHI|District 5
01/26/2025   17:15:36  PM|MISC SERVICE CALL|9113XX  HOOPIO ST|EWA BEACH|District 8
01/26/2025   17:15:33  PM|MVC|6XX  SHERIDAN ST|HONOLULU|District 1
01/26/2025   17:14:34  PM|MVC VEH TOWED|1XX  VANDENBERG BLVD|JB HICKAM|District 5
01/26/2025   17:11:55  PM|MISC PUB|14XX  N SCHOOL ST|KALIHI|District 5
01/26/2025   17:09:34  PM|FOLLOW UP|18XX  YOUNG ST|MCCULLY|District 7
01/26/2025   17:07:42  PM|UEMV|12XX  KAPIOLANI BLVD|HONOLULU|District 1
01/26/2025   17:05:49  PM|TRESPASS WARN|9512XX  MEHEULA PKWY|MILILANI|District 2
01/26/2025   16:49:57  PM|ARGUMENT|9804XX  HOOKANIKE ST|PEARL CITY|District 3
01/26/2025   16:14:38  PM|WARRANT ARREST|MANAWAI ST / AE ST|KAPOLEI|District 8
01/26/2025   16:06:52  PM|ROBBERY|9401XX  PAHU ST|WAIPAHU|District 3
01/26/2025   15:32:21  PM|FAMILY OFF/NEG|9801XX  LIPOA PL|AIEA|District 3
