01/26/2025   18:43:50  PM|MISC SERVICE CALL|17XX  DEMOCRAT ST|KALIHI|District 5
01/26/2025   18:42:14  PM|TRAFFIC COMPLAINT|8106XX  FARRINGTON HWY|MAKAHA|District 8
01/26/2025   18:39:51  PM|MVC|PALII ST / AKAMAINUI ST|MILILANI|District 2
01/26/2025   18:37:33  PM|MVC|8600XX  FARRINGTON HWY|WAIANAE|District 8
01/26/2025   18:36:05  PM|ALARM CALL|5301XX  KAM HWY|PUNALUU|District 4
01/26/2025   18:35:02  PM|VEH TOWED|9111XX  KAILIPOLIPO ST|EWA BEACH|District 8
01/26/2025   18:29:03  PM|ANIMAL NOISE|4505XX  PAHIA RD|KANEOHE|District 4
01/26/2025   18:23:11  PM|FOLLOW UP|9814XX  KAAHUMANU ST|PEARL CITY|District 3
01/26/2025   18:21:20  PM|AUTO THEFT RECOVERY|WENA ST / ONEKAI ST|KANEOHE|District 4
01/26/2025   18:19:08  PM|MVC VEH TOWED|H3W W HARANO TUNNEL|AIEA|District 3
01/26/2025   18:17:32  PM|MVC VEH TOWED|8906XX  FARRINGTON HWY|NANAKULI|District 8
01/26/2025   18:15:16  PM|MISC PUB|13XX  KAELEKU ST|HAWAII KAI|District 7
01/26/2025   18:03:34  PM|THEFT|8708XX  KULAUKU ST|MAILI|District 8
01/26/2025   17:57:37  PM|FAMILY OFF/NEG|9900XX  KAUHALE ST|AIEA|District 3
01/26/2025   17:57:07  PM|RUNAWAY|5606XX  KAM HWY|KAHUKU|District 4
01/26/2025   17:47:18  PM|AUTO THEFT|9110XX  KAUIKI ST|EWA BEACH|District 8
01/26/2025   17:46:41  PM|MVC VEH TOWED|9404XX  HONOWAI ST|WAIPAHU|District 3
01/26/2025   16:14:38  PM|WARRANT ARREST|MANAWAI ST / AE ST|KAPOLEI|District 8
01/26/2025   16:06:52  PM|ROBBERY|9401XX  PAHU ST|WAIPAHU|District 3
