01/27/2025   18:58:45  PM|ARGUMENT|38XX  LEAHI AVE|WAIKIKI|District 6
01/27/2025   18:57:56  PM|MVC|9502XX  WAIKALANI DR|MILILANI|District 2
01/27/2025   18:57:28  PM|ORDER VIOLATION|11XX  2ND AVE|KAIMUKI|District 7
01/27/2025   18:57:24  PM|ARGUMENT FAMILY|9901XX  KOHOMUA ST|AIEA|District 3
01/27/2025   18:55:28  PM|MISC SERVICE CALL|38XX  SIERRA DR|KAIMUKI|District 7
01/27/2025   18:49:12  PM|MISC SERVICE CALL|4XX  ALAKAWA ST|KALIHI|District 5
01/27/2025   18:45:44  PM|BURGLARY|34XX  ROUND TOP DR|MAKIKI|District 1
01/27/2025   18:43:48  PM|AUTO THEFT|8901XX  NANAIKALA PL|NANAKULI|District 8
01/27/2025   18:41:29  PM|MISC SERVICE CALL|9500XX  WAIKALANI DR|MILILANI|District 2
01/27/2025   18:41:06  PM|FOLLOW UP|1XX  KEKAHA PL|HAWAII KAI|District 7
01/27/2025   18:34:24  PM|RUNAWAY|9106XX  MAKALEA ST|EWA BEACH|District 8
01/27/2025   18:31:55  PM|TRESPASS|13XX  DOMINIS ST|MAKIKI|District 1
01/27/2025   18:24:59  PM|FOLLOW UP|11XX  AUAHI ST|HONOLULU|District 1
01/27/2025   18:23:31  PM|MISC PUB|5XX  KULIA ST|WAHIAWA|District 2
01/27/2025   18:23:21  PM|MVC|KAPAA QUARRY RD / KALANIANAOLE HWY|KAILUA|District 4
01/27/2025   18:10:13  PM|ARGUMENT NON FAMILY|13XX  HOOLI CIR|PEARL CITY|District 3
01/27/2025   16:10:45  PM|WARRANT ARREST|43XX  WAIALAE AVE|KAHALA|District 7
01/27/2025   14:39:55  PM|RAPE|9901XX  KOHOMUA ST|AIEA|District 3
