01/28/2025   07:13:21  AM|MISC CRIME OFFENSE|4XX  NIU ST|WAIKIKI|District 6
01/28/2025   07:11:56  AM|MISC SERVICE CALL|8713XX  FARRINGTON HWY|NANAKULI|District 8
01/28/2025   07:10:18  AM|MISC SERVICE CALL|4XX  WAIAKAMILO RD|KALIHI|District 5
01/28/2025   07:08:33  AM|FOLLOW UP|16XX  EAST WEST RD|MANOA|District 7
01/28/2025   06:55:17  AM|PARKING VIOLATION|26XX  DOLE ST|KAIMUKI|District 7
01/28/2025   06:53:29  AM|MISC PUB|4502XX  WAIKALUA RD|KANEOHE|District 4
01/28/2025   06:44:33  AM|MISC PUB|9XX  LEHUA AVE|PEARL CITY|District 3
01/28/2025   06:42:40  AM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
01/28/2025   06:40:05  AM|THEFT|CUSHING ST / SEABEE WAY|JB PEARL|District 3
01/28/2025   06:39:12  AM|AUTO THEFT|23XX  KAPIOLANI BLVD|MCCULLY|District 7
01/28/2025   06:36:51  AM|HARASSMENT|2XX  PROSPECT ST|PUNCHBOWL|District 1
01/28/2025   06:32:18  AM|LOST PROPERTY|11XX  AUAHI ST|HONOLULU|District 1
01/28/2025   06:26:26  AM|AUTO THEFT RECOVERY|8606XX  PAHEEHEE RD|WAIANAE|District 8
