01/28/2025   23:38:03  PM|TRAFFIC STOP|8509XX  FARRINGTON HWY|WAIANAE|District 8
01/28/2025   23:33:19  PM|RUNAWAY|9XX  ALDER ST|HONOLULU|District 1
01/28/2025   23:33:11  PM|MVC|12XX  KAALA AVE|WAHIAWA|District 2
01/28/2025   23:32:14  PM|NOISE COMPLAINT|32XX  PALIULI ST|KAIMUKI|District 7
01/28/2025   23:26:58  PM|SUSP CIRCUMSTANCE|13XX  16TH AVE|KAIMUKI|District 7
01/28/2025   23:23:34  PM|DUI|1XX  H1E FWY|AIEA|District 3
01/28/2025   22:43:35  PM|DISORDERLY CONDUCT|14XX  S BERETANIA ST|HONOLULU|District 1
01/28/2025   22:23:33  PM|TRAFFIC ARREST/CITATION|1XX  H1E FWY|AIEA|District 3
01/28/2025   22:14:33  PM|SIMPLE ASSAULT|XX  N HOTEL ST|DOWNTOWN|District 1
01/28/2025   22:05:37  PM|MISC PUB|3XX  SUMNER ST|KALIHI|District 5
01/28/2025   22:03:29  PM|DUI|KA UKA BLVD / H2N FWY|PEARL CITY|District 3
01/28/2025   22:02:40  PM|DISORDERLY CONDUCT|20XX  KALAKAUA AVE|WAIKIKI|District 6
01/28/2025   18:14:10  PM|FOLLOW UP|9907XX  HALAWA HTS RD|AIEA|District 3
