02/05/2025   13:40:52  PM|SUSP CIRCUMSTANCE|FORD ISLAND BLVD / ARIZONA MEMORIAL DR|AIEA|District 3
02/05/2025   13:38:50  PM|HARASSMENT|8XX  S BERETANIA ST|HONOLULU|District 1
02/05/2025   13:38:48  PM|FOLLOW UP|17XX  ALA MOANA BLVD|WAIKIKI|District 6
02/05/2025   13:38:06  PM|MVC|46XX  KAPOLEI PKWY|KAPOLEI|District 8
02/05/2025   13:27:18  PM|RUNAWAY|8701XX  MAMOALII PL|MAILI|District 8
02/05/2025   13:21:49  PM|FOLLOW UP|22XX  KALAKAUA AVE|WAIKIKI|District 6
02/05/2025   13:20:02  PM|VEH TOWED|15XX  PENSACOLA ST|MAKIKI|District 1
02/05/2025   13:18:49  PM|MISC PUB|10XX  AHUA ST|MAPUNAPUNA|District 5
02/05/2025   13:10:59  PM|MISC PUB|MAKANANI DR / KEALIA DR|KALIHI|District 5
02/05/2025   12:54:49  PM|MISSING PERSON|34XX  ALIAMANU ST|ALIAMANU|District 5
02/05/2025   12:50:02  PM|MISC CRIME OFFENSE|1XX  KAPAHULU AVE|WAIKIKI|District 6
02/05/2025   12:27:10  PM|FOLLOW UP|54XX  ALBATROSS AVE|IROQUOIS|District 8
02/05/2025   11:44:46  AM|HARASSMENT|8504XX  FARRINGTON HWY|WAIANAE|District 8
02/05/2025   11:44:14  AM|FRAUD|65XX  HAWAII KAI DR|HAWAII KAI|District 7
02/05/2025   11:07:35  AM|WARRANT ARREST|KALAKAUA AVE / KAPIOLANI BLVD|ALA MOANA|District 1
02/05/2025   10:47:34  AM|DRUGS/NARCOTICS|14XX  YOUNG ST|HONOLULU|District 1
02/05/2025   09:25:20  AM|FAMILY OFF/NEG|19XX  KAM IV RD|KALIHI|District 5
