02/07/2025   22:08:31  PM|ARGUMENT FAMILY|4600XX  EMEPELA PL|KANEOHE|District 4
02/07/2025   22:08:12  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
02/07/2025   22:03:53  PM|MISC PUB|6XX  HAUSTEN ST|MCCULLY|District 7
02/07/2025   22:01:08  PM|MVC|9111XX  KEAUNUI DR|EWA BEACH|District 8
02/07/2025   21:58:24  PM|NUISANCE COMPLAINT|9907XX  IWAIWA ST|AIEA|District 3
02/07/2025   21:49:48  PM|AUTO THEFT|12XX  WAIMANU ST|HONOLULU|District 1
02/07/2025   21:47:24  PM|ARGUMENT|1XX  VANDENBERG BLVD|JB HICKAM|District 5
02/07/2025   21:41:55  PM|AGGRAVATED ASSAULT|12XX  N SCHOOL ST|KALIHI|District 5
02/07/2025   21:40:43  PM|WARRANT ARREST|7XX  KAPAHULU AVE|KAIMUKI|District 7
02/07/2025   21:20:41  PM|NUISANCE COMPLAINT|9110XX  SHANGRILA ST|KALAELOA|District 8
02/07/2025   21:18:34  PM|VEH TOWED|ALA MOANA BLVD / SOUTH ST|KAKAAKO|District 1
02/07/2025   21:17:58  PM|NUISANCE COMPLAINT|42XX  SALT LAKE BLVD|ALIAMANU|District 5
02/07/2025   21:16:36  PM|MISC PUB|19XX  KALAKAUA AVE|WAIKIKI|District 6
02/07/2025   21:02:21  PM|RECKLESS ENDANGERING|8604XX  MAILIILI RD|WAIANAE|District 8
02/07/2025   21:01:43  PM|AGGRAVATED ASSAULT|9905XX  SALT LAKE BLVD|AIEA|District 3
02/07/2025   20:57:07  PM|MISC SERVICE CALL|8303XX  FARRINGTON HWY|MAKAHA|District 8
02/07/2025   20:55:38  PM|WARRANT ARREST|32XX  KEKONA PL|KAIMUKI|District 7
02/07/2025   20:47:51  PM|SIMPLE ASSAULT|16XX  N SCHOOL ST|KALIHI|District 5
02/07/2025   18:11:29  PM|DISORDERLY CONDUCT|4XX  NIU ST|WAIKIKI|District 6
