02/09/2025   15:58:41  PM|PARKING VIOLATION|24XX  KUHIO AVE|WAIKIKI|District 6
02/09/2025   15:55:35  PM|MISC SERVICE CALL|16XX  HOUGHTAILING ST|KALIHI|District 5
02/09/2025   15:54:25  PM|HARASSMENT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/09/2025   15:47:57  PM|MEDICAL ASSIST|4600XX  KAWA ST|KANEOHE|District 4
02/09/2025   15:44:31  PM|MISC PUB|9205XX  AKAULA ST|MAKAKILO|District 8
02/09/2025   15:42:35  PM|PROPERTY DAMAGE|9502XX  KIPAPA DR|MILILANI|District 2
02/09/2025   15:41:43  PM|UEMV|KONA IKI ST / KAPIOLANI BLVD|ALA MOANA|District 1
02/09/2025   15:36:53  PM|PROPERTY DAMAGE|9403XX  HAAA ST|WAIPAHU|District 3
02/09/2025   15:28:29  PM|LOST PROPERTY|9505XX  LANIKUHANA AVE|MILILANI|District 2
02/09/2025   15:18:32  PM|AUTO THEFT|9810XX  MOANALUA RD|AIEA|District 3
02/09/2025   15:07:08  PM|FOLLOW UP|6101XX  TUTU ST|HALEIWA|District 2
02/09/2025   15:04:34  PM|FAMILY OFF/NEG|9101XX  EWA BEACH RD|EWA BEACH|District 8
02/09/2025   15:02:02  PM|UEMV|9215XX  ALIINUI DR|KAPOLEI|District 8
02/09/2025   14:54:56  PM|FIREWORKS VIOLATION|AAMANU ST / AKAIKAI LOOP|PEARL CITY|District 3
02/09/2025   14:43:10  PM|TRESPASS|4108XX  KALANIANAOLE HWY|WAIMANALO|District 4
02/09/2025   14:30:10  PM|BURGLARY|43XX  KAHALA AVE|KAHALA|District 7
02/09/2025   14:12:52  PM|THEFT|40XX  BLACK POINT RD|KAHALA|District 7
