02/10/2025   06:41:51  AM|MISC CRIME OFFENSE|8408XX  LAHAINA ST|MAKAHA|District 8
02/10/2025   06:25:33  AM|THEFT|24XX  10TH AVE|KAIMUKI|District 7
02/10/2025   06:24:25  AM|LOST PROPERTY|37XX  LIKINI ST|ALIAMANU|District 5
02/10/2025   06:22:47  AM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
02/10/2025   06:21:51  AM|FOUND PROPERTY|11XX  MAKEPONO ST|KALIHI|District 5
02/10/2025   06:21:44  AM|AGGRAVATED ASSAULT|14XX  AALA ST|DOWNTOWN|District 1
02/10/2025   06:18:34  AM|ROBBERY|22XX  KALAKAUA AVE|WAIKIKI|District 6
02/10/2025   06:16:44  AM|AUTO THEFT RECOVERY|9403XX  HAAA ST|WAIPAHU|District 3
02/10/2025   06:16:06  AM|HARASSMENT|14XX  PELE ST|HONOLULU|District 1
02/10/2025   06:12:22  AM|THEFT|14XX  LUSITANA ST|HONOLULU|District 1
02/10/2025   05:44:42  AM|WARRANT ARREST|4XX  KUWILI ST|KALIHI|District 5
02/10/2025   00:21:31  AM|SIMPLE ASSAULT|11XX  HIND IUKA DR|AINA HAINA|District 7
