02/13/2025   23:39:16  PM|MEDICAL ASSIST|24XX  CLEGHORN ST|WAIKIKI|District 6
02/13/2025   23:37:25  PM|MISC SERVICE CALL|23XX  AHAKAPU ST|PEARL CITY|District 3
02/13/2025   23:35:29  PM|ARGUMENT FAMILY|8501XX  ALA AKAU ST|WAIANAE|District 8
02/13/2025   23:31:40  PM|ARGUMENT FAMILY|8600XX  FARRINGTON HWY|WAIANAE|District 8
02/13/2025   23:26:14  PM|FRAUD|8XX  KAPAHULU AVE|KAPAHULU|District 7
02/13/2025   23:25:32  PM|ORDER VIOLATION|4702XX  WAIHEE RD|KAHALUU|District 4
02/13/2025   23:25:31  PM|TRAFFIC ARREST/CITATION|2XX  H1E FWY|KAIMUKI|District 7
02/13/2025   23:25:15  PM|SIMPLE ASSAULT|12XX  AINAKOA AVE|WAIALAE|District 7
02/13/2025   23:22:27  PM|THREATENING|9116XX  PAHIKA ST|EWA BEACH|District 8
02/13/2025   23:20:34  PM|ALARM CALL|5XX  FARRINGTON HWY|KAPOLEI|District 8
02/13/2025   23:08:05  PM|DRUGS/NARCOTICS|FERN ST / PUNAHOU ST|MCCULLY|District 1
02/13/2025   23:01:16  PM|DUI|KAILUA RD / HAMAKUA DR|KAILUA|District 4
02/13/2025   22:25:26  PM|MVC|WARD AVE / ALA MOANA BLVD|KAKAAKO|District 1
02/13/2025   22:23:33  PM|FOLLOW UP|18XX  LIME ST|MCCULLY|District 7
02/13/2025   22:19:38  PM|DUI|PALI HWY / S VINEYARD BLVD|DOWNTOWN|District 1
02/13/2025   22:06:04  PM|DUI|HOOLAI ST / KIHAPAI ST|KAILUA|District 4
02/13/2025   21:39:34  PM|FAMILY OFF/NEG|8720XX  FARRINGTON HWY|NANAKULI|District 8
