02/18/2025   22:42:09  PM|DRUNK NUISANCE|1XX  VANDENBERG BLVD|JB HICKAM|District 5
02/18/2025   22:38:00  PM|MISC PUB|31XX  ESTHER ST|KAPAHULU|District 7
02/18/2025   22:36:08  PM|MEDICAL ASSIST|9211XX  PANANA ST|MAKAKILO|District 8
02/18/2025   22:35:11  PM|MISC SERVICE CALL|9403XX  HOKUAHIAHI ST|MILILANI|District 2
02/18/2025   22:30:13  PM|VEH TOWED|9415XX  WAIPAHU ST|WAIPAHU|District 3
02/18/2025   22:24:56  PM|VEH TOWED|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
02/18/2025   22:15:09  PM|MISC SERVICE CALL|8XX  S KING ST|HONOLULU|District 1
02/18/2025   22:13:44  PM|FOLLOW UP|6704XX  AIKAULA ST|WAIALUA|District 2
02/18/2025   22:03:55  PM|RUNAWAY|9110XX  MAKAALOA ST|EWA BEACH|District 8
02/18/2025   21:49:08  PM|DUI|KINAU ST / PIIKOI ST|HONOLULU|District 1
02/18/2025   21:37:18  PM|HARASSMENT|13XX  KINAU ST|HONOLULU|District 1
02/18/2025   21:28:29  PM|DUI|H1W H2N OFF|WAIPAHU|District 3
02/18/2025   20:24:21  PM|AUTO THEFT RECOVERY|8XX  QUEEN ST|HONOLULU|District 1
02/18/2025   17:02:34  PM|RUNAWAY|5801XX  KAM HWY|SUNSET|District 2
