02/19/2025   00:53:50  AM|MVC|65XX  KALANIANAOLE HWY|HAWAII KAI|District 7
02/19/2025   00:49:51  AM|NOISE COMPLAINT|9408XX  FARRINGTON HWY|WAIPAHU|District 3
02/19/2025   00:43:56  AM|VEH TOWED|2XX  H1W FWY|NUUANU|District 5
02/19/2025   00:32:07  AM|ROBBERY|18XX  KAM IV RD|KALIHI|District 5
02/19/2025   00:27:08  AM|FOLLOW UP|24XX  ROSE ST|KALIHI|District 5
02/19/2025   00:18:05  AM|SIMPLE ASSAULT|14XX  LINAPUNI ST|KALIHI|District 5
02/18/2025   23:57:39  PM|VEH TOWED|8903XX  NANAKULI AVE|NANAKULI|District 8
02/18/2025   23:44:41  PM|VEH TOWED|2XX  H1W FWY|MAKIKI|District 1
02/18/2025   23:41:08  PM|VEH TOWED|NUUANU AVE / N VINEYARD BLVD|DOWNTOWN|District 1
02/18/2025   23:27:03  PM|FOLLOW UP|9500XX  WAIPUKA ST|MILILANI|District 2
02/18/2025   22:42:09  PM|DUI|1XX  VANDENBERG BLVD|JB HICKAM|District 5
02/18/2025   21:49:08  PM|DUI|KINAU ST / PIIKOI ST|HONOLULU|District 1
02/18/2025   20:24:21  PM|AUTO THEFT RECOVERY|8XX  QUEEN ST|HONOLULU|District 1
