02/19/2025   06:42:24  AM|ALARM CALL|5604XX  KAM HWY|KAHUKU|District 4
02/19/2025   06:36:20  AM|MVC VEH TOWED|KOMO MAI DR / KAAHUMANU ST|PEARL CITY|District 3
02/19/2025   06:33:16  AM|TRESPASS WARN|6601XX  KAM HWY|HALEIWA|District 2
02/19/2025   06:26:06  AM|MVC VEH TOWED|17XX  10TH AVE|KAIMUKI|District 7
02/19/2025   06:19:08  AM|PARKING VIOLATION|AIPUNI ST / HAO ST|AINA HAINA|District 7
02/19/2025   06:10:00  AM|FOLLOW UP|9809XX  MOANALUA RD|AIEA|District 3
02/19/2025   06:09:33  AM|HARASSMENT|7XX  KAPAHULU AVE|KAPAHULU|District 7
02/19/2025   06:06:45  AM|FRAUD|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/19/2025   06:03:58  AM|LPROP LIC PLATE|9402XX  KAIHOLENA PL|WAIPAHU|District 3
02/19/2025   06:00:54  AM|LOST PROPERTY|11XX  12TH AVE|KAIMUKI|District 7
02/19/2025   05:58:52  AM|THEFT|23XX  DOLE ST|MANOA|District 7
02/19/2025   05:15:52  AM|AUTO THEFT RECOVERY|18XX  ALA AOLANI|MOANALUA V|District 5
02/19/2025   05:08:44  AM|UNATTENDED DEATH|9106XX  KILAHA ST|EWA BEACH|District 8
02/18/2025   23:57:39  PM|VEH TOWED|8903XX  NANAKULI AVE|NANAKULI|District 8
02/18/2025   12:26:19  PM|THEFT|42XX  WAIALAE AVE|KAIMUKI|District 7
