02/22/2025   22:24:43  PM|NUISANCE COMPLAINT|MEHEULA PKWY / KAPANOE ST|MILILANI|District 2
02/22/2025   22:20:41  PM|TRAFFIC ARREST/CITATION|8411XX  FARRINGTON HWY|MAKAHA|District 8
02/22/2025   22:20:37  PM|SUSP CIRCUMSTANCE|8502XX  ALA AKAU ST|WAIANAE|District 8
02/22/2025   22:19:43  PM|RUNAWAY|8407XX  KILI DR|MAKAHA|District 8
02/22/2025   22:18:49  PM|SUSP VEH|8600XX  FARRINGTON HWY|WAIANAE|District 8
02/22/2025   22:17:10  PM|MVC|26XX  MOANALUA RD|MOANALUA V|District 5
02/22/2025   22:15:42  PM|LOUD PARTY|58XX  HALEOLA ST|AINA HAINA|District 7
02/22/2025   22:15:36  PM|WARRANT ARREST|PAOAKALANI AVE / LEMON RD|WAIKIKI|District 6
02/22/2025   22:14:58  PM|RUNAWAY CXL|11XX  NAMAHEALANI PL|HAWAII KAI|District 7
02/22/2025   22:06:05  PM|WARRANT ARREST|WAIKALUA RD / HALEMUKU ST|KANEOHE|District 4
02/22/2025   22:01:17  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
02/22/2025   21:58:45  PM|DUI|HOLOMOANA ST / KAHANAMOKU ST|WAIKIKI|District 6
02/22/2025   21:52:53  PM|BURGLARY|2XX  OHUA AVE|WAIKIKI|District 6
02/22/2025   21:51:46  PM|RAPE|9810XX  MOANALUA RD|AIEA|District 3
02/22/2025   21:50:51  PM|PARKING VIOLATION|4XX  LAUNIU ST|WAIKIKI|District 6
02/22/2025   21:44:32  PM|MVC|KULAUKU ST / KULAHANAI ST|MAILI|District 8
02/22/2025   21:34:21  PM|WARRANT ARREST|8XX  UNIVERSITY AVE|MCCULLY|District 7
02/22/2025   21:31:38  PM|MISC SERVICE CALL|20XX  AKAIKAI LOOP|PEARL CITY|District 3
02/22/2025   21:31:12  PM|MISC PUB|11XX  KAMOKILA BLVD|KAPOLEI|District 8
02/22/2025   20:08:20  PM|LIQUOR LAW|24XX  KALAKAUA AVE|WAIKIKI|District 6
