02/26/2025   21:57:05  PM|ARGUMENT|4105XX  HUMUNIKI ST|WAIMANALO|District 4
02/26/2025   21:55:29  PM|MISC SERVICE CALL|52XX  SHIELDS ST|CATLIN PK|District 5
02/26/2025   21:53:42  PM|NOISE COMPLAINT|MA KE KULA PL / MA KE KULA ST|EWA BEACH|District 8
02/26/2025   21:49:27  PM|TRESPASS WARN|2XX  OHUA AVE|WAIKIKI|District 6
02/26/2025   21:39:52  PM|ARGUMENT FAMILY|8410XX  FARRINGTON HWY|MAKAHA|District 8
02/26/2025   21:30:17  PM|MVC|5XX  FARRINGTON HWY|KAPOLEI|District 8
02/26/2025   21:28:29  PM|THEFT|13XX  15TH AVE|KAIMUKI|District 7
02/26/2025   21:00:07  PM|DISORDERLY CONDUCT|19XX  KALAKAUA AVE|WAIKIKI|District 6
02/26/2025   20:39:48  PM|FOLLOW UP|24XX  N NIMITZ HWY|AIRPORT|District 5
02/26/2025   20:21:21  PM|THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
02/26/2025   20:11:13  PM|AGGRAVATED ASSAULT|13XX  ALA MOANA PARK DR|ALA MOANA|District 1
02/26/2025   19:40:04  PM|FOUND PROPERTY|60XX  SUMMER ST|AINA HAINA|District 7
02/26/2025   19:08:29  PM|WARRANT ARREST|43XX  N NIMITZ HWY|JB PEARL|District 3
02/26/2025   19:05:21  PM|ROBBERY|8500XX  WAIANAE VALLEY RD|WAIANAE|District 8
