03/05/2025   07:58:43  AM|FOLLOW UP|4502XX  WAIKALUA RD|KANEOHE|District 4
03/05/2025   07:57:47  AM|MISC SERVICE CALL|12XX  MATLOCK AVE|HONOLULU|District 1
03/05/2025   07:55:15  AM|NUISANCE COMPLAINT|KALANIANAOLE HWY / WAA ST|WAIALAE|District 7
03/05/2025   07:54:57  AM|MVC|9204XX  FARRINGTON HWY|KAPOLEI|District 8
03/05/2025   07:47:53  AM|MISC PUB|11XX  MAUNAKEA ST|DOWNTOWN|District 1
03/05/2025   07:46:59  AM|BURGLARY|MAWEKE ST / MAUNAKAPU ST|EWA BEACH|District 8
03/05/2025   07:44:45  AM|MISC PUB|6602XX  KAM HWY|HALEIWA|District 2
03/05/2025   07:41:51  AM|PROPERTY DAMAGE|15XX  NUUANU AVE|DOWNTOWN|District 1
03/05/2025   07:26:08  AM|VEH TOWED|4XX  KANEKAPOLEI ST|WAIKIKI|District 6
03/05/2025   07:24:00  AM|VEH TOWED|CAMPBELL AVE / MONSARRAT AVE|KAPAHULU|District 7
03/05/2025   07:09:31  AM|PARKING VIOLATION|2XX  OHUA AVE|WAIKIKI|District 6
03/05/2025   07:01:34  AM|THEFT|9400XX  FARRINGTON HWY|WAIPAHU|District 3
03/05/2025   06:53:39  AM|FAMILY OFF/NEG|2XX  LILIUOKALANI AVE|WAIKIKI|District 6
03/05/2025   06:43:13  AM|FAMILY OFF/NEG|14XX  LINAPUNI ST|KALIHI|District 5
03/05/2025   06:34:27  AM|WARRANT ARREST|8502XX  FARRINGTON HWY|WAIANAE|District 8
