03/06/2025   20:40:50  PM|ARGUMENT|9XX  ALEWA DR|KALIHI|District 5
03/06/2025   20:39:06  PM|MVC|2XX  LILIUOKALANI AVE|WAIKIKI|District 6
03/06/2025   20:34:21  PM|UEMV|6101XX  KAM HWY|HALEIWA|District 2
03/06/2025   20:29:57  PM|VEH TOWED|KALANIANAOLE HWY / MOOMUKU PL|AINA HAINA|District 7
03/06/2025   20:28:42  PM|MISC PUB|9114XX  KEAHUMOA PKWY|EWA BEACH|District 8
03/06/2025   20:28:40  PM|PARKING VIOLATION|7XX  HAUSTEN ST|MCCULLY|District 7
03/06/2025   20:20:32  PM|BURGLARY|16XX  ALA MOANA BLVD|ALA MOANA|District 1
03/06/2025   20:16:27  PM|SIMPLE ASSAULT|11XX  KUALA ST|PEARL CITY|District 3
03/06/2025   20:09:59  PM|LIC PLATE THEFT|19XX  PUOWAINA DR|PUNCHBOWL|District 1
03/06/2025   19:55:11  PM|MVC VEH TOWED|35XX  LEAHI AVE|KAPAHULU|District 7
03/06/2025   19:29:06  PM|MISC PUB|9110XX  POLOLIA ST|EWA BEACH|District 8
03/06/2025   19:00:34  PM|MISC PUB|8509XX  MIDWAY ST|WAIANAE|District 8
03/06/2025   18:58:20  PM|UNATTENDED DEATH|9600XX  WAIAWA RD|WAIPAHU|District 3
03/06/2025   16:50:40  PM|SEX ASSAULT|10XX  MANAWAI ST|KAPOLEI|District 8
03/06/2025   10:38:29  AM|AGGRAVATED ASSAULT|8909XX  NANAKULI AVE|NANAKULI|District 8
