03/09/2025   16:58:53  PM|MEDICAL ASSIST|8406XX  FARRINGTON HWY|MAKAHA|District 8
03/09/2025   16:49:27  PM|MISC SERVICE CALL|16XX  KEALIA DR|KALIHI|District 5
03/09/2025   16:37:19  PM|HARASSMENT|5XX  CADET SHERIDAN RD|SCHOFIELD|District 2
03/09/2025   16:36:58  PM|MISSING PERSON|6204XX  KAM HWY|HALEIWA|District 2
03/09/2025   16:36:11  PM|THREATENING|15XX  PIIKOI ST|MAKIKI|District 1
03/09/2025   16:22:59  PM|TRESPASS WARN|7XX  KEEAUMOKU ST|HONOLULU|District 1
03/09/2025   16:21:10  PM|MVC|23XX  KUHIO AVE|WAIKIKI|District 6
03/09/2025   16:05:41  PM|MVC|2XX  SARATOGA RD|WAIKIKI|District 6
03/09/2025   15:51:22  PM|AGGRAVATED ASSAULT|11XX  ALA MOANA BLVD|KAKAAKO|District 1
03/09/2025   15:35:48  PM|SIMPLE ASSAULT|3XX  KAMAKEE ST|HONOLULU|District 1
03/09/2025   15:27:59  PM|FAMILY OFF/NEG|4XX  NIU ST|WAIKIKI|District 6
03/09/2025   15:17:39  PM|TRESPASS|9810XX  MOANALUA RD|AIEA|District 3
03/09/2025   08:53:50  AM|BURGLARY|38XX  DIAMOND HEAD RD|KAHALA|District 7
