03/18/2025   07:09:48  AM|FRAUD|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
03/18/2025   07:09:46  AM|CONSTRUCTION NOISE|24XX  KUHIO AVE|WAIKIKI|District 6
03/18/2025   07:09:41  AM|RUNAWAY|9404XX  KEAOOPUA ST|MILILANI|District 2
03/18/2025   07:05:32  AM|VEH TOWED|17XX  HOE ST|KALIHI|District 5
03/18/2025   07:03:49  AM|MISC SERVICE CALL|3XX  KOLEKOLE DR|WAHIAWA|District 2
03/18/2025   06:57:39  AM|VEH TOWED|LEWERS ST / MANUKAI ST|WAIKIKI|District 6
03/18/2025   06:49:06  AM|VEH TOWED|KOAPAKA ST / PAIEA ST|AIRPORT|District 5
03/18/2025   06:48:01  AM|MISC PUB|51XX  LIKINI ST|SALT LAKE|District 5
03/18/2025   06:42:45  AM|THEFT|25XX  KALAKAUA AVE|WAIKIKI|District 6
03/18/2025   06:38:23  AM|VEH TOWED|PAOAKALANI AVE / PUALANI WAY|WAIKIKI|District 6
03/18/2025   06:25:48  AM|AUTO THEFT|12XX  ALA KAPUNA|MOANALUA V|District 5
03/18/2025   05:58:31  AM|AUTO THEFT RECOVERY|HUDSON CIR / TAMPA DR|RED HILL|District 5
