03/20/2025   01:43:37  AM|TRAFFIC STOP|2XX  H1E FWY|KAIMUKI|District 7
03/20/2025   01:35:43  AM|PARKING VIOLATION|TUSITALA ST / LILIUOKALANI AVE|WAIKIKI|District 6
03/20/2025   01:27:28  AM|THEFT|7XX  QUEEN ST|HONOLULU|District 1
03/20/2025   01:02:42  AM|WARRANT ARREST|12XX  ALA MOANA BLVD|ALA MOANA|District 1
03/20/2025   00:50:15  AM|MVC|25XX  ROUND TOP DR|MAKIKI|District 1
03/20/2025   00:23:21  AM|WARRANT ARREST|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/20/2025   00:16:27  AM|MISC CRIME OFFENSE|27XX  KALAKAUA AVE|WAIKIKI|District 6
03/20/2025   00:04:30  AM|AUTO THEFT RECOVERY|N KING ST / OWEN ST|KALIHI|District 5
03/19/2025   23:21:17  PM|DUI|WILSON ST / LIKELIKE HWY|KALIHI|District 5
03/19/2025   22:41:55  PM|WARRANT ARREST|KALAKAUA AVE / MCCULLY ST|WAIKIKI|District 6
03/19/2025   22:04:58  PM|VEH TOWED|LANIKUHANA AVE / KAM HWY|MILILANI|District 2
