03/21/2025   22:43:52  PM|SUSP CIRCUMSTANCE|5103XX  KEKIO RD|KAAAWA|District 4
03/21/2025   22:43:48  PM|PROPERTY DAMAGE|8XX  PIIKOI ST|HONOLULU|District 1
03/21/2025   22:40:17  PM|MISC PUB|35XX  LEAHI AVE|WAIKIKI|District 6
03/21/2025   22:38:04  PM|THEFT|9402XX  LEOKU ST|WAIPAHU|District 3
03/21/2025   22:36:43  PM|PROPERTY DAMAGE|15XX  WILHELMINA RISE|KAIMUKI|District 7
03/21/2025   22:29:55  PM|VEH TOWED|15XX  ALA WAI BLVD|WAIKIKI|District 6
03/21/2025   22:26:38  PM|MISC PUB|8701XX  KAUKAMANA RD|MAILI|District 8
03/21/2025   22:24:36  PM|THREATENING|10XX  S KING ST|HONOLULU|District 1
03/21/2025   22:24:06  PM|UNATTENDED DEATH|16XX  POKI ST|MAKIKI|District 1
03/21/2025   22:24:00  PM|TRESPASS WARN|25XX  LEMON RD|WAIKIKI|District 6
03/21/2025   22:17:14  PM|PARKING VIOLATION|MAKEKE ST / MANAUEA PL|MAKAKILO|District 8
03/21/2025   22:16:47  PM|JUVENILE NUISANCE|9404XX  FARRINGTON HWY|WAIPAHU|District 3
03/21/2025   22:13:58  PM|TRAFFIC COMPLAINT|4XX  KAPAHULU AVE|KAPAHULU|District 7
03/21/2025   22:11:22  PM|STALLED/HAZARD VEH|FARRINGTON ONTO H1W|KAPOLEI|District 8
03/21/2025   22:11:13  PM|THREATENING|9404XX  KAHUALENA ST|WAIPAHU|District 3
03/21/2025   22:06:43  PM|VEH TOWED|21XX  KANEALII AVE|PUNCHBOWL|District 1
03/21/2025   21:54:37  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
03/21/2025   21:53:17  PM|FIREWORKS VIOLATION|20XX  AAMOMI ST|PEARL CITY|District 3
03/21/2025   21:45:24  PM|AUTO THEFT RECOVERY|PUUHALE RD / WILCOX LN|KALIHI|District 5
03/21/2025   21:44:03  PM|THEFT|23XX  AKEPA ST|PEARL CITY|District 3
03/21/2025   21:42:53  PM|VEH TOWED|HANAWAI CIR / FARRINGTON HWY|WAIPAHU|District 3
03/21/2025   21:30:04  PM|VEH TOWED|16XX  PAULA DR|KAIMUKI|District 7
03/21/2025   21:24:30  PM|VEH TOWED|KAM HWY / PUU PONI ST|PEARL CITY|District 3
03/21/2025   15:28:05  PM|DRUGS/NARCOTICS|PUMEHANA ST / LIME ST|MCCULLY|District 7
