03/25/2025   22:58:01  PM|VEH TOWED|24XX  NAAI ST|KALIHI|District 5
03/25/2025   22:56:04  PM|MISC SERVICE CALL|10XX  AUAHI ST|HONOLULU|District 1
03/25/2025   22:54:39  PM|TRAFFIC STOP|71XX  KALANIANAOLE HWY|HAWAII KAI|District 7
03/25/2025   22:41:23  PM|SUSP CIRCUMSTANCE|17XX  ALA MOANA BLVD|WAIKIKI|District 6
03/25/2025   22:38:28  PM|FOLLOW UP|2XX  KAUMAKANI ST|HAWAII KAI|District 7
03/25/2025   22:29:13  PM|TRAFFIC ARREST/CITATION|1XX  H1E FWY|AIEA|District 3
03/25/2025   22:19:21  PM|STALLED/HAZARD VEH|KAM HWY / LEILEHUA GOLF CRS RD|MILILANI|District 2
03/25/2025   22:17:02  PM|HARASSMENT|27XX  WAIALAE AVE|MCCULLY|District 7
03/25/2025   21:58:05  PM|ICF/SCF|9906XX  HALAWA HTS RD|AIEA|District 3
03/25/2025   21:54:20  PM|FAMILY OFF/NEG|23XX  KALAKAUA AVE|WAIKIKI|District 6
03/25/2025   21:45:21  PM|RUNAWAY|14XX  LILIHA ST|DOWNTOWN|District 1
03/25/2025   21:38:51  PM|WARRANT ARREST|KEKAULIKE ST / N NIMITZ HWY|DOWNTOWN|District 1
