03/26/2025   12:55:39  PM|STALLED/HAZARD VEH|XX  H2S FWY|MILILANI|District 2
03/26/2025   12:55:14  PM|MVC|4403XX  KANEOHE BAY DR|KANEOHE|District 4
03/26/2025   12:55:12  PM|TRESPASS|9401XX  FARRINGTON HWY|WAIPAHU|District 3
03/26/2025   12:52:53  PM|MISC SERVICE CALL|13XX  PUNAHOU ST|MCCULLY|District 7
03/26/2025   12:49:36  PM|PARKING VIOLATION|9401XX  PUPUNOHE ST|WAIPAHU|District 3
03/26/2025   12:49:07  PM|CUSTODIAL INTERFERENCE|9103XX  HOOLU PL|EWA BEACH|District 8
03/26/2025   12:48:25  PM|PARKING VIOLATION|36XX  HALEKIPA PL|KAIMUKI|District 7
03/26/2025   12:44:48  PM|VEH TOWED|32XX  ALA ILIMA|SALT LAKE|District 5
03/26/2025   12:43:12  PM|MISC SERVICE CALL|20XX  ALA WAI BLVD|WAIKIKI|District 6
03/26/2025   12:42:42  PM|NUISANCE COMPLAINT|9XX  PAAAINA ST|PEARL CITY|District 3
03/26/2025   12:39:10  PM|MISC PUB|26XX  KALAKAUA AVE|WAIKIKI|District 6
03/26/2025   12:37:57  PM|MVC|7XX  KEEAUMOKU ST|HONOLULU|District 1
03/26/2025   12:36:49  PM|BURGLARY|24XX  NOTLEY ST|KALIHI|District 5
03/26/2025   12:33:51  PM|VEH TOWED|24XX  KUHIO AVE|WAIKIKI|District 6
03/26/2025   11:51:47  AM|AUTO THEFT|9XX  HAUSTEN ST|MCCULLY|District 7
03/26/2025   11:27:43  AM|FOLLOW UP|9XX  HAUSTEN ST|MCCULLY|District 7
03/26/2025   10:51:25  AM|UNATTENDED DEATH|9XX  ALA LILIKOI ST|SALT LAKE|District 5
03/26/2025   10:25:50  AM|TRESPASS WARN|5XX  FARRINGTON HWY|KAPOLEI|District 8
