03/30/2025   10:11:24  AM|ICF/SCF|17XX  PALI HWY|PUNCHBOWL|District 1
03/30/2025   10:05:13  AM|MISC PUB|23XX  KALAKAUA AVE|WAIKIKI|District 6
03/30/2025   10:03:47  AM|FOLLOW UP|23XX  KALAKAUA AVE|WAIKIKI|District 6
03/30/2025   10:02:08  AM|AUTO THEFT|15XX  H3W FWY|MCBH|District 4
03/30/2025   09:55:19  AM|ARGUMENT FAMILY|9210XX  KANEHOA LOOP|MAKAKILO|District 8
03/30/2025   09:52:02  AM|FIRE CALL|21XX  KALAKAUA AVE|WAIKIKI|District 6
03/30/2025   09:51:58  AM|HARASSMENT|5103XX  KEKIO RD|KAAAWA|District 4
03/30/2025   09:51:03  AM|NUISANCE COMPLAINT|6700XX  FARRINGTON HWY|WAIALUA|District 2
03/30/2025   09:50:09  AM|WARRANT ARREST|S KING ST / KAPAAKEA LN|MCCULLY|District 7
03/30/2025   09:46:04  AM|PARKING VIOLATION|9110XX  OPUKU ST|KAPOLEI|District 8
03/30/2025   09:45:33  AM|AUTO THEFT RECOVERY|WAIPIO UKA ST / NOHEAIKI ST|WAIPIO|District 3
03/30/2025   09:22:15  AM|FOUND PROPERTY|3XX  KEAHOLE ST|HAWAII KAI|District 7
03/30/2025   09:09:04  AM|VEH TOWED|ALA MOANA BLVD / HOBRON LN|WAIKIKI|District 6
03/30/2025   08:52:58  AM|FAMILY OFF/NEG|9510XX  HOAKUA ST|MILILANI|District 2
