03/30/2025   16:26:37  PM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
03/30/2025   16:23:58  PM|THEFT|21XX  KALAKAUA AVE|WAIKIKI|District 6
03/30/2025   16:23:27  PM|MISC PUB|6XX  MIDDLE ST|KALIHI|District 5
03/30/2025   16:22:20  PM|NUISANCE COMPLAINT|8XX  S KING ST|HONOLULU|District 1
03/30/2025   16:20:43  PM|FRAUD|4XX  SEASIDE AVE|WAIKIKI|District 6
03/30/2025   16:18:10  PM|MISC SERVICE CALL|28XX  ALA ILIMA|SALT LAKE|District 5
03/30/2025   16:14:47  PM|UNATTENDED DEATH|14XX  KEWALO ST|MAKIKI|District 1
03/30/2025   16:14:14  PM|NUISANCE COMPLAINT|5500XX  KAM HWY|HAUULA|District 4
03/30/2025   16:12:49  PM|MISC PUB|13XX  PUNCHBOWL ST|HONOLULU|District 1
03/30/2025   16:12:10  PM|MISSING PERSON|6XX  N KAINALU DR|KAILUA|District 4
03/30/2025   16:06:54  PM|ARGUMENT|51XX  IROQUOIS AVE|IROQUOIS|District 8
03/30/2025   16:05:20  PM|NUISANCE COMPLAINT|10XX  KAPIOLANI BLVD|HONOLULU|District 1
03/30/2025   16:02:05  PM|AUTO THEFT|KUAOA ST / MEHEULA PKWY|MILILANI|District 2
03/30/2025   16:01:26  PM|WARRANT ARREST|CITRON ST / HAUOLI ST|MCCULLY|District 7
03/30/2025   15:45:11  PM|THEFT|22XX  KUHIO AVE|WAIKIKI|District 6
03/30/2025   15:41:14  PM|DISORDERLY CONDUCT|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/30/2025   15:41:11  PM|MISC SERVICE CALL|1XX  S SCHOOL ST|PUNCHBOWL|District 1
03/30/2025   15:35:21  PM|ROBBERY|10XX  S KING ST|HONOLULU|District 1
03/30/2025   15:07:51  PM|MISC PUB|9110XX  SHANGRILA ST|KALAELOA|District 8
03/30/2025   14:16:48  PM|UNATTENDED DEATH|22XX  CALIFORNIA AVE|WAHIAWA|District 2
