04/05/2025   23:12:46  PM|MEDICAL ASSIST|17XX  ALA MOANA BLVD|WAIKIKI|District 6
04/05/2025   23:09:56  PM|MISC SERVICE CALL|12XX  S KING ST|HONOLULU|District 1
04/05/2025   23:07:52  PM|MISC CRIME OFFENSE|5XX  CORAL ST|HONOLULU|District 1
04/05/2025   23:05:49  PM|MISC SERVICE CALL|8910XX  PIKAIOLENA ST|NANAKULI|District 8
04/05/2025   23:05:37  PM|NUISANCE COMPLAINT|9403XX  PUPUPANI ST|WAIPAHU|District 3
04/05/2025   23:04:41  PM|MVC|13XX  MOKAPU BLVD|KAILUA|District 4
04/05/2025   23:00:34  PM|VEH TOWED|19XX  WILIKINA DR|WAHIAWA|District 2
04/05/2025   22:54:23  PM|THEFT|32XX  N NIMITZ HWY|AIRPORT|District 5
04/05/2025   22:49:37  PM|LOUD PARTY|13XX  HOOLI CIR|PEARL CITY|District 3
04/05/2025   22:47:20  PM|SIMPLE ASSAULT|9410XX  WAIPAHU ST|WAIPAHU|District 3
04/05/2025   22:47:09  PM|TRESPASS WARN|8XX  S BERETANIA ST|HONOLULU|District 1
04/05/2025   22:47:03  PM|THEFT|6XX  POHUKAINA ST|HONOLULU|District 1
04/05/2025   22:45:23  PM|MVC VEH TOWED|KALELE RD / WAIALAE ONTO H1W|MANOA|District 7
04/05/2025   22:44:12  PM|DISORDERLY CONDUCT|5XX  N SCHOOL ST|NUUANU|District 5
04/05/2025   22:29:15  PM|FAMILY OFF/NEG|20XX  KAPIOLANI BLVD|MCCULLY|District 7
04/05/2025   22:21:14  PM|MISC SERVICE CALL|9102XX  HOKUIMO PL|KAPOLEI|District 8
04/05/2025   21:22:45  PM|FAMILY OFF/NEG|24XX  KOMO MAI DR|PEARL CITY|District 3
04/05/2025   18:48:02  PM|WARRANT ARREST|19XX  NEW JERSEY AVE|KAIMUKI|District 7
04/05/2025   17:23:40  PM|MVC VEH TOWED|XX  H1W FWY|MAKAKILO|District 8
