04/12/2025   12:29:00  PM|ORDER VIOLATION|6601XX  KAM HWY|HALEIWA|District 2
04/12/2025   12:28:07  PM|PARKING VIOLATION|2XX  PORTLOCK RD|HAWAII KAI|District 7
04/12/2025   12:27:24  PM|MISC SERVICE CALL|9402XX  WAIKELE RD|WAIPAHU|District 3
04/12/2025   12:25:31  PM|PARKING VIOLATION|4XX  PAU ST|WAIKIKI|District 6
04/12/2025   12:19:48  PM|ICF/SCF|42XX  WAIALAE AVE|KAIMUKI|District 7
04/12/2025   12:15:32  PM|MVC|ALEXANDER ST / DOLE ST|MANOA|District 7
04/12/2025   12:10:10  PM|SUSP PERSON|11XX  KEALAOLU AVE|KAHALA|District 7
04/12/2025   12:05:07  PM|ARGUMENT|3XX  MERCHANT ST|DOWNTOWN|District 1
04/12/2025   11:59:10  AM|AUTO THEFT|7XX  KAPAHULU AVE|KAIMUKI|District 7
04/12/2025   11:58:30  AM|MISC PUB|12XX  MAUNAKEA ST|DOWNTOWN|District 1
04/12/2025   11:55:28  AM|PARKING VIOLATION|9802XX  AIEA KAI PL|AIEA|District 3
04/12/2025   11:38:45  AM|MISC CRIME OFFENSE|8605XX  HALONA RD|WAIANAE|District 8
04/12/2025   11:26:16  AM|FOLLOW UP|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/12/2025   11:21:47  AM|FOLLOW UP|9403XX  OILILUA PL|WAIPAHU|District 3
04/12/2025   11:21:12  AM|AUTO THEFT|9402XX  PUPUOLE ST|WAIPAHU|District 3
04/12/2025   11:15:13  AM|WARRANT ARREST|4505XX  KEAAHALA RD|KANEOHE|District 4
04/12/2025   11:12:21  AM|THEFT|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/12/2025   10:55:43  AM|TRESPASS WARN|20XX  KALIA RD|WAIKIKI|District 6
04/12/2025   10:32:32  AM|FOLLOW UP|6XX  ULUKAHIKI ST|KAILUA|District 4
04/12/2025   08:09:19  AM|TRAFFIC ARREST/CITATION|8701XX  MALIONA ST|MAILI|District 8
